FACTOR	EXPR_FOLDCHANGE	EXPR_H1hesc	EXPR_GM12878	Protection_H1hesc_protection_mean	Protection_H1hesc_protection_median	Protection_H1hesc_protection_std	Protection_GM12878_protection_mean	Protection_GM12878_protection_median	Protection_GM12878_protection_std	Protection_protection_ks_stat	Protection_protection_ks_pvalue	Protection_H1hesc_tc_mean	Protection_H1hesc_tc_median	Protection_H1hesc_tc_std	Protection_GM12878_tc_mean	Protection_GM12878_tc_median	Protection_GM12878_tc_std	Protection_tc_ks_stat	Protection_tc_ks_pvalue	Protection_H1hesc_fos_mean	Protection_H1hesc_fos_median	Protection_H1hesc_fos_std	Protection_GM12878_fos_mean	Protection_GM12878_fos_median	Protection_GM12878_fos_std	Protection_fos_ks_stat	Protection_fos_ks_pvalue	Protection_H1hesc_flr_mean	Protection_H1hesc_flr_median	Protection_H1hesc_flr_std	Protection_GM12878_flr_mean	Protection_GM12878_flr_median	Protection_GM12878_flr_std	Protection_flr_ks_stat	Protection_flr_ks_pvalue
ZNF263	0.3269097889	6.3759042222	6.7028140111	0.00713266770965	0.00627255525427	0.00386732100692	0.00679785248421	0.0058880297062	0.00383850549099	-0.156904306023	300.0	0.475843783541	0.481251177714	0.0251901764117	0.617777966465	0.62201917352	0.0294566275328	0.0067874901626	300.0	0.41695603418	0.413690993258	0.0513044359893	0.416308271923	0.407670525725	0.0343697865843	-0.0285497909116	143.099822736	0.338086290626	0.336521790195	0.0470749141385	0.33717814773	0.336503793355	0.0366432387172	-0.0873807145317	2.54241452326
KLF1	0.3295018	5.8667564444	6.1962582444	0.0123268652046	0.0112723455948	0.00949309095568	0.0102539754106	0.00907831806627	0.00812476533595	-0.0497736255694	300.0	0.493654926934	0.496864234865	0.0374942558702	0.383983245347	0.389247380906	0.0285713541682	-0.0630675244437	300.0	0.332667091551	0.323505586674	0.075333417148	0.328519414769	0.319421625754	0.050286051631	-0.0441109874983	9.29107739504	0.313795759845	0.312533927612	0.0319816064616	0.31255748234	0.312394997117	0.0229058232201	-0.0772609013618	0.682715666044
BRCA1	0.3420935222	6.5185210556	6.8606145778	0.0265989110458	0.0225813260588	0.0166464653489	0.0215532471973	0.0185823574278	0.0129785775626	-0.0567155835388	198.951534785	0.455922526539	0.461048185501	0.0250653313923	0.596514380575	0.601398660897	0.0323040226141	0.00447721397905	300.0	0.375754636889	0.374412358322	0.0530543543945	0.372598393043	0.367541436409	0.0369269349336	-0.00502958579882	8.68482025714	0.318999333451	0.319150270659	0.0225237384545	0.318900168853	0.318287125112	0.0153320976833	-0.0383839792469	4.87832271272
FOXL1	0.3485975222	6.5360874444	6.8846849667	0.00603250191498	0.00493851064202	0.00680735153581	0.0073733889628	0.00512846515785	0.00849635308011	0.0168695399733	300.0	0.500758795955	0.505973098511	0.0336823828546	0.40165019105	0.402501948364	0.0224341839444	-0.0154945597597	300.0	0.338763759383	0.333706628576	0.0454660777819	0.347559905501	0.34123196108	0.0539043910123	0.00429244930652	4.66973812648	0.200482514246	0.165418579355	0.146250385423	0.236949061818	0.196972407044	0.169856768334	0.0709898684009	8.531200351
NKX2-5	0.3610327444	5.8370343889	6.1980671333	0.0331522272967	0.0271867437514	0.0154116875629	0.037126506467	0.0323766469787	0.0154352285383	0.029581748669	300.0	0.519940980877	0.524481272338	0.0322626663947	0.402164725999	0.408412172464	0.0262904236072	-0.034181464665	300.0	0.45356421514	0.446533491591	0.030268568462	0.456201096521	0.454136244348	0.0468247583502	0.0039939381563	19.5427565727	0.289610376879	0.289302832162	0.0313888176931	0.288679430494	0.28864744019	0.0226020435417	-0.0662921144373	1.7160081697
PAX4	0.36501635	4.8246142222	5.1896305722	0.00943615394643	0.007695845762	0.00793975229419	0.0153485139458	0.0121966455062	0.0108241680519	0.0647133565103	300.0	0.455222880218	0.457584348019	0.0210631081253	0.577954188865	0.582509875891	0.0289529338611	0.00667372463579	300.0	0.442143267787	0.435262449116	0.0420396979965	0.450348293569	0.447631171048	0.0506159336875	0.0201459376981	33.3664693613	0.200184550943	0.179869241992	0.145332818171	0.222229743514	0.189529695405	0.159923781661	0.0125234884492	1.00840384686
FOXQ1	0.3700839444	6.1010293889	6.4711133333	0.00749406230709	0.00658030615806	0.00602748320023	0.00895962695439	0.00721135841604	0.00838656254133	0.00818135921388	300.0	0.39004507298	0.394637491321	0.0334927640414	0.327905094703	0.333421068536	0.0234013742773	-0.177343911148	300.0	0.457450678712	0.454450081551	0.041516378431	0.468989414485	0.467718996884	0.0558224772747	0.0379667748661	7.90832646649	0.332319827701	0.332074011822	0.0202301372926	0.332188702533	0.33188650028	0.0176290688245	-0.0765906741419	0.670165473235
RXRA	0.3769536278	6.7146771111	7.0916307389	0.0199586787731	0.0177885626801	0.00795776377452	0.0210460027934	0.0191696032262	0.00830545133147	0.0811990498238	300.0	0.45978869206	0.465516244751	0.0245382662791	0.599918798022	0.60428049186	0.0299733259805	0.00597249573638	300.0	0.427068041951	0.423634177208	0.0607513770261	0.426022066668	0.416300563952	0.0401822245158	-0.0283429346792	20.5904497737	0.306361491441	0.305413944725	0.0360269297963	0.305113472351	0.305066694572	0.0250336834071	-0.0752472065286	1.00585596212
FOXA1	0.3781183444	5.2266942778	5.6048126222	0.0127642465065	0.0117401870961	0.00921036435028	0.0120132141719	0.0103086185409	0.00629374169278	-0.0244055409913	300.0	0.49666776545	0.50124506364	0.0323984252166	0.400555619532	0.406159841473	0.0219483125829	-0.0138505660329	300.0	0.358288932981	0.355799000579	0.0573749259541	0.354138897834	0.347114995065	0.0433362879963	-0.0156380668629	8.41065665828	0.328952044409	0.328626802134	0.031188902831	0.327486635355	0.328242060931	0.0170212236486	-0.0639116831114	3.31171877279
EN1	0.3989146722	5.5023358333	5.9012505056	0.0239712057109	0.0195177341158	0.0150854110557	0.0287578052257	0.0236863624916	0.0189347821726	0.0342814952224	300.0	0.398960816087	0.405485599504	0.0390847130552	0.319069682122	0.324383504353	0.0317331145214	-0.174596429105	300.0	0.371849472825	0.359163313512	0.0451058831206	0.372497494778	0.370230761477	0.0739796496781	0.0111997867603	10.4680597155	0.234079280158	0.23362093284	0.0294158385141	0.233426096939	0.233588105862	0.0150436075975	-0.0678768492322	1.09569411012
