FACTOR	EXPR_FOLDCHANGE	EXPR_H1hesc	EXPR_GM12878	FLR_85_H1hesc_protection_mean	FLR_85_H1hesc_protection_median	FLR_85_H1hesc_protection_std	FLR_85_GM12878_protection_mean	FLR_85_GM12878_protection_median	FLR_85_GM12878_protection_std	FLR_85_protection_ks_stat	FLR_85_protection_ks_pvalue	FLR_85_H1hesc_tc_mean	FLR_85_H1hesc_tc_median	FLR_85_H1hesc_tc_std	FLR_85_GM12878_tc_mean	FLR_85_GM12878_tc_median	FLR_85_GM12878_tc_std	FLR_85_tc_ks_stat	FLR_85_tc_ks_pvalue	FLR_85_H1hesc_fos_mean	FLR_85_H1hesc_fos_median	FLR_85_H1hesc_fos_std	FLR_85_GM12878_fos_mean	FLR_85_GM12878_fos_median	FLR_85_GM12878_fos_std	FLR_85_fos_ks_stat	FLR_85_fos_ks_pvalue	FLR_85_H1hesc_flr_mean	FLR_85_H1hesc_flr_median	FLR_85_H1hesc_flr_std	FLR_85_GM12878_flr_mean	FLR_85_GM12878_flr_median	FLR_85_GM12878_flr_std	FLR_85_flr_ks_stat	FLR_85_flr_ks_pvalue
HNF1A	0.2036627778	4.7222006111	4.9258633889	0.0203801975224	0.0150999027654	0.0163974258742	0.0278863045842	0.02078153274	0.0198093152591	0.100852321682	300.0	0.378866460276	0.386291363165	0.0202913200493	0.447348338872	0.453980209334	0.0320386666958	0.286507647055	13.6290106361	0.561800955053	0.555325708421	0.0584261026462	0.565597847263	0.565381722751	0.0727971755345	0.0621492128679	1.14716513863	0.252886342455	0.254008408679	0.00751560696993	0.256052364202	0.257232509632	0.0182169531734	0.0990101809955	1.47714764563
RFX2	0.2164441333	5.4421975556	5.6586416889	0.0367646640845	0.031863559074	0.0189976065401	0.0328572209608	0.0281882903458	0.0169154102793	-0.161625115439	168.770440286	0.33498554927	0.343275674045	0.034635333267	0.31980996841	0.317418648373	0.0154516125152	-0.141354244472	5.53477178582	0.645368954514	0.635176756944	0.0651029327099	0.626347283085	0.623878611925	0.0489494052992	-0.0073285171669	0.627806256949	0.172308503051	0.17243208728	0.00404182533102	0.172681086721	0.172993294559	0.0158960354533	0.104383116883	1.44636820257
PAX2	0.2255426222	5.2315701111	5.4571127333	0.0154608694358	0.012602974072	0.0137975934516	0.0130870139047	0.0105358361424	0.0116220274464	-0.113324371816	87.1952262194	0.339049187786	0.34650440933	0.0304098317684	0.325976389077	0.325859364977	0.00937137970199	-0.0545142370534	1.97325397535	0.190612486385	0.203517373241	0.0492145488696	0.208572965004	0.211268881755	0.0586884849729	0.0760416666667	0.336304389511	0.497317959496	0.492167765288	0.0572465118844	0.521109074108	0.508640916644	0.0843675891867	0.105191508999	0.350887150009
FOSL1	0.2495109	5.9053088889	6.1548197889	0.0503056525113	0.0427395574194	0.0228932795741	0.0661744017734	0.0538120228744	0.0312937062346	0.130300622058	300.0	0.285998572985	0.301702282982	0.0348706757694	0.323152512362	0.33151574447	0.0479077091472	0.0112337918558	6.07391055075	0.247599122414	0.237292056135	0.0506370853754	0.239765810568	0.232276568764	0.0489876859452	-0.0683006535948	0.0567386043546	0.539125844916	0.56539107082	0.0703520675441	0.56944335065	0.567145518169	0.131467293918	0.000579150579151	0.39730284957
PAX6	0.2689653	3.2277611111	3.4967264111	0.0263798398426	0.0204459139704	0.0163103460366	0.0340723843855	0.0271174012964	0.0197712953852	0.0875620880125	300.0	0.296345757473	0.302762413053	0.0337701872539	0.28571966029	0.289790479675	0.0133793406385	-0.0541995155357	3.94132707766	0.573130984216	0.563281797064	0.0780605449293	0.605381301478	0.594055443578	0.0946537432553	0.15308056872	1.24105606807	0.608590139067	0.608484464901	0.0185735082822	0.613737917704	0.619640187038	0.0748640724878	0.171428571429	1.03644291879
NR2F1	0.2710186722	5.3702576667	5.6412763389	0.00909488723051	0.00653597791307	0.0100279150467	0.01153824556	0.00869672269521	0.0111328477979	0.0642898554716	300.0	0.352138899479	0.356773025544	0.0182696261904	0.395704631812	0.404383933161	0.0323382007449	0.1500513063	10.3118162717	0.306512965289	0.30468200978	0.0323656801223	0.302699501596	0.30081300009	0.0268273612656	-0.0374914559125	0.226894437095	0.596340062151	0.606874178329	0.0423509379978	0.606940462607	0.610779838182	0.0600366511042	0.0455298530791	0.624745336926
FOXC1	0.2817084333	6.6542359444	6.9359443778	0.0435802316357	0.0298565134704	0.041588813183	0.0332348865502	0.0198711492807	0.0364247416576	-0.019875409259	105.194849769	0.25705772598	0.25915031172	0.0348449758637	0.244880023616	0.253790076129	0.00996217523157	-0.296578790894	0.263323613668	0.405338446916	0.400658958781	0.0294220152948	0.415144324604	0.419195611046	0.0923544108288	0.178947368421	0.383989850652	0.354341415642	0.357254234931	0.0156047858266	0.369730842185	0.369754980362	0.10838013551	0.334848484848	0.616277352711
SREBF2	0.2865639111	9.1103612778	9.3969251889	0.0318755698108	0.0266434542357	0.0168343384266	0.0376375978353	0.03208734408	0.0193692605736	0.0883591152533	300.0	0.36407926738	0.372704257363	0.0323433782222	0.336068687116	0.337499146097	0.0161287958555	-0.0279199502373	12.874541481	0.671629668821	0.668905363649	0.0311777744578	0.670778606229	0.668897216435	0.0237452792539	-0.11928916215	0.0342101975791	0.551944579752	0.550718928456	0.0444566993786	0.547506147065	0.549698323835	0.0345005757524	-0.0219564748977	0.419471963044
THAP1	0.3018008222	5.8000158333	6.1018166556	0.00522523895004	0.00404238975104	0.00447321300773	0.0062955702755	0.00500393282029	0.00521856703881	0.00330897886805	300.0	0.337103020847	0.337861187431	0.0192815988305	0.367900522022	0.37473139748	0.0302389304664	0.0214720881054	16.1265217213	0.473201938615	0.46948897961	0.0342026567989	0.483965997872	0.477137452254	0.0383803706031	0.0144952795933	1.70321982302	0.196189705002	0.196431862475	0.00574754170622	0.19726346906	0.196917905437	0.0144936696933	0.00265631321776	1.49607316187
SOX17	0.3243661	6.3657267222	6.6900928222	0.00601771208051	0.00477676607123	0.00643053980597	0.00507978034845	0.00401925031675	0.00564987167314	-0.0695641646158	300.0	0.353972406625	0.358229974062	0.0179415546473	0.406829699873	0.41307771627	0.0288387315202	0.233072819659	16.3846232108	0.279186221776	0.277123175808	0.0473283296683	0.285984644282	0.287276833793	0.0497002861251	0.0893147502904	1.88234237654	0.686195313621	0.687224621126	0.0552936321693	0.685754208821	0.684434449558	0.0224793077013	-0.0381551362683	0.114324286943
HOXA5	0.3250339778	3.5496091111	3.8746430889	0.0232673625182	0.0197361550067	0.0145952676648	0.0208685440858	0.0176146815833	0.0127551189354	-0.0766484061292	300.0	0.329121284432	0.334512113614	0.0226228490199	0.361705147367	0.370602988142	0.0311797274009	0.0220417417128	12.1980159623	0.685898919982	0.680057143144	0.0585611877042	0.695967936591	0.697454582206	0.0589036128724	0.0848599307523	2.22907425029	0.147462453711	0.14691509089	0.00640873825097	0.148711501223	0.147798637648	0.0394488580773	0.0879541864139	1.98386289475
ZNF263	0.3269097889	6.3759042222	6.7028140111	0.00857162107162	0.00773874526131	0.00446615067975	0.00769212952977	0.00683820982228	0.00384250901323	-0.121787874719	300.0	0.359568887946	0.366972374004	0.0262131893776	0.410554709427	0.418594347848	0.0307271168362	0.157728803959	81.2034280407	0.576489188111	0.577831829808	0.0279891668946	0.576363673729	0.574448076445	0.0230942232342	-0.0832183908046	1.84171165854	0.270603048637	0.267578635096	0.0483502334808	0.26774559546	0.267449101528	0.0311621508331	-0.0544364158375	3.86625009903
KLF1	0.3295018	5.8667564444	6.1962582444	0.0144888302115	0.0121472122406	0.00886958857714	0.0175633238124	0.0149701141832	0.0102755738132	0.0240942008585	300.0	0.348535889192	0.356861443479	0.0336870144947	0.322543812545	0.326629110886	0.0241282258943	-0.0541304549868	15.3175245186	0.473642847481	0.459981831144	0.0502259225287	0.464296489206	0.458670548769	0.0494918453394	-0.038846294268	1.01501372386	0.636194065486	0.638977532225	0.0618957542683	0.633396373962	0.636396096177	0.0508067721874	-0.0127279102384	0.767848456521
BRCA1	0.3420935222	6.5185210556	6.8606145778	0.0284336560864	0.0241759041638	0.018575830422	0.0244818830065	0.020672430067	0.0159597225348	-0.0495260369927	300.0	0.278317992253	0.29378471049	0.0308152445874	0.306730418653	0.314087619117	0.0491013419124	0.0076372502519	5.66192446535	0.486785374714	0.482507201152	0.0419910156338	0.510225939965	0.493192209501	0.0431792497688	0.0604970008569	0.78613682875	0.390743845028	0.390500645242	0.0366267133588	0.421400617251	0.391812111766	0.140955645171	0.0257060144157	0.277932678045
FOXL1	0.3485975222	6.5360874444	6.8846849667	0.00997953763456	0.00811838577276	0.00963262225176	0.00776615491913	0.00634222398882	0.00858195633327	-0.0460646564708	299.999999965	0.406901669634	0.412182518996	0.0221158229202	0.490197544639	0.496597866096	0.0310583134871	0.292246100169	15.8995855311	0.66992310716	0.668121255816	0.0289858830756	0.682881349087	0.672192270617	0.034046279424	0.00778089013383	0.722616896743	0.462850537065	0.335442803563	0.33597448718	0.543376913048	0.460413959343	0.347585927044	0.1165	0.645330899174
