FACTOR	PEARSON	TC	FOS	PWM	HMMD	HMMD_BC	HMMD_BCN	BOYLE	NEPH	CUELLAR	PIQUE
REST	0.610249613624	0.187225315495	0.0927478226807	0.512531113345	0.434100368116	0.440137914105	0.466144886903	0.345804463443	0.353851481643	0.51253736188	0.151044205346
RFX5	0.5817831067	0.42306078791	0.0390850523518	0.0923206756264	0.6687037933	0.684708869655	0.695425133153	0.619439280894	0.603817194635	0.0932870247123	0.21948007487
SIX5	0.631474006345	0.427044114236	0.00754986215695	0.117730201233	0.78035181761	0.81977467792	0.818494806351	0.716261213688	0.709233978534	0.117807570661	0.127557652073
SMC3	0.162677324475	0.585852669617	0.17712007042	0.430297478255	0.90916272036	0.921109868077	0.920266911223	0.842040387165	0.827182534459	0.431432996235	0.625511572472
SP1	0.431213014296	0.849482011892	0.0736578671699	0.172790362052	0.896359961588	0.971686492001	0.954719043816	0.953249489549	0.938829725242	0.186733164708	0.652926054804
SP2	0.632100986497	0.876924179173	0.0749222648266	0.243689820914	0.853806718982	0.979515386208	0.958123794116	0.957894856052	0.944722900139	0.249656429224	0.685758355156
SRF	0.736995307761	0.189736075538	0.0147950325532	0.0451801060329	0.494414791406	0.501315610631	0.501276409757	0.408775170533	0.382301758068	0.0451914632953	0.0503221982091
STAT1	0.530256300528	0.294113627119	0.0307438644068	0.00813125423729	0.730811661017	0.738478644068	0.73890820339	0.660950779661	0.61709559322	0.00816922033898	0.0702893559322
STAT2	0.85211703434	0.153445839899	0.0142606937404	0.065373840549	0.511837238075	0.514040379589	0.519748111442	0.389828157599	0.387193880672	0.065424337449	0.047868819865
STAT5A	0.639081002969	0.178385469718	0.0429129668911	0.00187307106625	0.627030075451	0.651931305131	0.648540153653	0.59489112665	0.496447387854	0.00211331244398	0.0993267989376
TAL1	0.655570417059	0.185107191909	0.014710208227	0.0178730360867	0.601002413616	0.608218090191	0.609710988793	0.520495168383	0.463957268825	0.0179564426529	0.0974140894827
THAP1	0.676301280561	0.635479149172	0.00282964131741	0.0107102437558	0.869801892664	0.899425257834	0.897892287619	0.851267823144	0.846042206158	0.0173736624362	0.291665021946
TR4	0.679182194593	0.664528990963	0.0494759806834	0.342413567566	0.840794051771	0.873384685501	0.856574793834	0.811408671207	0.806715822957	0.343208620926	0.495108514448
USF1	0.587444376029	0.183380208187	0.0202973678573	0.0193845638772	0.487273277168	0.500785615299	0.498681165071	0.376813438561	0.376058197217	0.0201790787807	0.109961893118
USF2	0.526198069526	0.455882967936	0.0525786073563	0.0165179239743	0.794601019067	0.836007348142	0.829364928807	0.709624889617	0.720918748004	0.0166658080501	0.173830821829
YY1	0.720753283229	0.47073455183	0.00876361511078	0.0920183571542	0.79109226396	0.806986743531	0.801575766431	0.690736411455	0.715760719409	0.0921828011264	0.168068646724
ZBTB33	0.469969486229	0.407088571591	0.12639887124	0.184744686527	0.53813486646	0.590136788539	0.571682037991	0.544574296505	0.507673229408	0.192407627911	0.246632490072
ZBTB7A	0.905862807171	0.399953538315	0.0	0.0018908184828	0.820947680702	0.835659515009	0.827482946841	0.725931470736	0.733844756025	0.00197823528197	0.111256117455
ZNF143	0.661591891414	0.344347474334	0.00484089680092	0.0770417270636	0.734967595607	0.764071662989	0.762662147606	0.650585118135	0.653847702693	0.0771036559921	0.137012080291
ZNF263	0.828219568556	0.131140362635	0.0215555993478	0.0617224949525	0.441904385546	0.478156501554	0.445383467375	0.338733581404	0.334584891276	0.0617224949525	0.12766202478
