FACTOR	EXPR_FOLDCHANGE	EXPR_H1hesc	EXPR_K562	Cuellar_85_H1hesc_protection_mean	Cuellar_85_H1hesc_protection_median	Cuellar_85_H1hesc_protection_std	Cuellar_85_K562_protection_mean	Cuellar_85_K562_protection_median	Cuellar_85_K562_protection_std	Cuellar_85_protection_ks_stat	Cuellar_85_protection_ks_pvalue	Cuellar_85_H1hesc_tc_mean	Cuellar_85_H1hesc_tc_median	Cuellar_85_H1hesc_tc_std	Cuellar_85_K562_tc_mean	Cuellar_85_K562_tc_median	Cuellar_85_K562_tc_std	Cuellar_85_tc_ks_stat	Cuellar_85_tc_ks_pvalue	Cuellar_85_H1hesc_fos_mean	Cuellar_85_H1hesc_fos_median	Cuellar_85_H1hesc_fos_std	Cuellar_85_K562_fos_mean	Cuellar_85_K562_fos_median	Cuellar_85_K562_fos_std	Cuellar_85_fos_ks_stat	Cuellar_85_fos_ks_pvalue	Cuellar_85_H1hesc_flr_mean	Cuellar_85_H1hesc_flr_median	Cuellar_85_H1hesc_flr_std	Cuellar_85_K562_flr_mean	Cuellar_85_K562_flr_median	Cuellar_85_K562_flr_std	Cuellar_85_flr_ks_stat	Cuellar_85_flr_ks_pvalue
SREBF2	-0.1732940608	9.1103612778	8.9370672169	0.192778107661	0.168825806645	0.056658632288	0.276806637258	0.242476159328	0.109189371754	0.097978009927	-252.259741286	0.787065315924	0.790010261567	0.040763766439	0.694977184223	0.703828122646	0.0184068835332	-0.236310709903	-300.0	0.103405012742	0.0800832926046	0.0823454535977	0.0451557296913	0.0355071394386	0.0355164797839	-0.186187736458	-300.0	0.252662859381	0.253016542163	0.0476412663781	0.27229461085	0.25610750115	0.098133737916	0.0198051948052	-0.434569965029
HOXA9	-0.1727359074	3.0796356111	2.9068997037	0.216303544314	0.183343902076	0.0867920894028	0.145079648484	0.131129859098	0.0485955991936	-0.0436866420905	-212.648880308	0.680919011566	0.687264299146	0.0182180807538	0.694864142698	0.704384653573	0.0450112803299	0.127987927822	-300.0	0.0950171124227	0.0652270074367	0.0877788263207	0.0338581943166	0.0235722501969	0.0310992376812	-0.106276921908	-300.0	0.587706565599	0.593154003641	0.111532378713	0.614190494172	0.597281636624	0.135741138899	0.00684210526316	-0.133841307612
FOSL2	-0.1563748122	5.7409766111	5.5846017989	0.20220653766	0.179742354069	0.0899490813205	0.110235189552	0.0948300792378	0.0458213147806	-0.0349780695693	-300.0	0.781220589698	0.787221099351	0.0439904748449	0.689065557853	0.698818078332	0.0167955146386	-0.233018976125	-300.0	0.220911923125	0.196517942079	0.110318269103	0.0530328051866	0.0433474800391	0.0349582362049	-0.350577000841	-300.0	0.219909653583	0.21837664404	0.0472807446663	0.218104612931	0.218146100043	0.0426767543403	-0.0243284408751	-1.98524212468
TCF12	-0.1484424405	8.6383393611	8.4898969206	0.137804087551	0.124407821062	0.0425458219432	0.195056373768	0.165858157323	0.0807361886303	0.0445109592432	-300.0	0.748886685845	0.75290456753	0.0420003910295	0.691818550321	0.701545858541	0.0208406703953	-0.0912707102531	-300.0	0.148072940851	0.124186814585	0.0962630935611	0.0781921493181	0.074902330576	0.0455837934689	-0.0453948336864	-300.0	0.309684556611	0.308203136107	0.0364759825871	0.311502812849	0.309270900324	0.0867064021334	0.018059088241	-2.12966720564
SOX10	-0.1468324868	5.24596	5.0991275132	0.147741710188	0.133142615038	0.0465421769306	0.214856852641	0.189761870327	0.0815253755837	0.0190031361198	-300.0	0.683842466628	0.696996378115	0.0245184215802	0.713715153167	0.720169832176	0.0492947563889	0.334631408124	-300.0	0.176570711921	0.143204171301	0.119614954407	0.0916866816529	0.085806691869	0.0556047657297	-0.00244585381452	-300.0	0.267139493144	0.26126353314	0.0811585516407	0.287263976843	0.26147204944	0.163197732536	0.00128205128205	-2.72001538614
FOXP2	-0.1347974762	2.351259	2.2164615238	0.190326824851	0.166625377288	0.085723863169	0.114569430388	0.105788024414	0.0411631710159	-0.0143542259175	-300.0	0.688217202523	0.697943180834	0.0460017337092	0.640743537121	0.647429224226	0.0190559065575	-0.0881607717326	-300.0	0.0713530846004	0.0525876522976	0.0618183458136	0.0304540114872	0.0224862568577	0.0261071322407	-0.0467204530866	-300.0	0.348295034967	0.328928030504	0.133443995782	0.335910838361	0.326197545947	0.0818658646726	-0.00501237623762	-0.766603849515
ATOH1	-0.1075542619	4.6970676111	4.5895133492	0.192061893402	0.171676620918	0.0830496978795	0.103207463397	0.0884287122244	0.0442580021648	-0.0401884435312	-300.0	0.686303062107	0.698049811222	0.0167125094752	0.69218038727	0.700028498633	0.0502282496316	0.288143119856	-300.0	0.189639499721	0.168421864299	0.0964246689836	0.0418335468185	0.0348468174101	0.026422940037	-0.359948312931	-300.0	0.290004116552	0.285364624239	0.0695179095005	0.2825109448	0.284750398669	0.0353577452158	-0.0800586510264	-2.01026561755
PPARG	-0.1072274577	2.7755172778	2.6682898201	0.190094967898	0.186948018376	0.0445861557831	0.278627033781	0.261967660087	0.0886915045665	0.00361521014741	-300.0	0.771525219936	0.774810375642	0.0390716071855	0.693331562361	0.701712871907	0.0193429405307	-0.20888121994	-300.0	0.116629001911	0.0936791823918	0.0809033142629	0.0511137002543	0.0418599525066	0.0352853688844	-0.14438647247	-300.0	0.216444934837	0.218714811616	0.0417338241963	0.218517206303	0.220900459835	0.0884332447123	0.00126859142607	-1.07537398944
GATA3	-0.0812258624	4.4545267778	4.3733009153	0.0721072838258	0.0618192392015	0.0468252211292	0.133470131107	0.114549284951	0.0944635388451	0.22568693156	-117.636149436	0.661733177576	0.67389876156	0.0653440430625	0.586931249968	0.594612580096	0.0180106425207	-0.101779135306	-300.0	0.147799382473	0.131558245075	0.0863285104648	0.0235408070527	0.0184088022942	0.0172551008867	-0.371750590568	-300.0	0.288307876539	0.272667561305	0.122759827576	0.258931172405	0.269897903351	0.0618109021879	-0.0986943164363	-1.56120141351
NR2F1	0.0013346402	5.3702576667	5.3715923069	0.119379930554	0.103318709193	0.0512903550266	0.186118353096	0.155164563306	0.0790369115802	0.0530948335836	206.519868412	0.696439749579	0.706042803055	0.0210782589881	0.756273144779	0.760088247887	0.0427110199416	0.134471782896	300.0	0.102110765206	0.0700115165868	0.0929399102267	0.0447479461874	0.0331075166337	0.0437863952367	-0.0335570667399	300.0	0.293420184499	0.264453022352	0.139478920837	0.265744306867	0.263372050007	0.0563769875362	-0.0423499770957	0.0256994817248
