FACTOR	EXPR_FOLDCHANGE	EXPR_H1hesc	EXPR_K562	TC_H1hesc_protection_mean	TC_H1hesc_protection_median	TC_H1hesc_protection_std	TC_K562_protection_mean	TC_K562_protection_median	TC_K562_protection_std	TC_protection_ks_stat	TC_protection_ks_pvalue	TC_H1hesc_tc_mean	TC_H1hesc_tc_median	TC_H1hesc_tc_std	TC_K562_tc_mean	TC_K562_tc_median	TC_K562_tc_std	TC_tc_ks_stat	TC_tc_ks_pvalue	TC_H1hesc_fos_mean	TC_H1hesc_fos_median	TC_H1hesc_fos_std	TC_K562_fos_mean	TC_K562_fos_median	TC_K562_fos_std	TC_fos_ks_stat	TC_fos_ks_pvalue	TC_H1hesc_flr_mean	TC_H1hesc_flr_median	TC_H1hesc_flr_std	TC_K562_flr_mean	TC_K562_flr_median	TC_K562_flr_std	TC_flr_ks_stat	TC_flr_ks_pvalue
GFI1	0.6229520794	4.7750645556	5.3980166349	0.0976614548369	0.0701655192851	0.0594955104807	0.204298052198	0.163176029102	0.119126306574	0.0149643535642	300.0	0.626890731056	0.655868508688	0.0889485911192	0.619154131551	0.63046202375	0.0360551413003	-0.0669510463941	300.0	0.225517628795	0.207511392699	0.0675823715878	0.376950670121	0.345734778488	0.202770765847	0.236936936937	12.1478550678	0.343023075361	0.342990948112	0.028062175126	0.359084709395	0.348662875443	0.101419637641	0.105605721093	101.645809049
GATA4	0.633933381	5.2971232222	5.9310566032	0.106847909672	0.0911125824031	0.0722778962199	0.057244738705	0.0471637882712	0.0375914988754	-0.145377165288	300.0	0.636239088055	0.646393124501	0.0576642419429	0.633313306169	0.643048080725	0.0260777979413	-0.218024057003	130.296502553	0.29685692345	0.289660879161	0.0493897668923	0.353399581405	0.310289929241	0.151781069507	0.121137548892	3.98327642686	0.303655695117	0.303553309607	0.0145495491207	0.313208400068	0.308820372427	0.0741913218953	0.159546174676	221.939331888
ZBTB33	0.648920373	7.0321475	7.681067873	0.178978021855	0.16364810487	0.0529310026519	0.253554511303	0.226953163064	0.0854949933867	0.0194714441929	300.0	0.621084970336	0.632643435037	0.0303847744674	0.707885683959	0.712151810287	0.0681372408068	0.115241531692	300.0	0.310906189862	0.293193324975	0.080065032037	0.391869264164	0.331868944536	0.202274061932	0.0226495726496	3.70416332054	0.312614394677	0.312058682391	0.0340856552655	0.336378975513	0.317477635055	0.13936644751	0.0427468093216	50.3755505427
FOSL1	0.7027668783	5.9053088889	6.6080757672	0.109366432128	0.0967832970443	0.0469989599347	0.197281182489	0.172145177832	0.0863489798497	0.0712210125313	300.0	0.587266211135	0.594685526883	0.0286231113574	0.644458997969	0.65535897392	0.0546895313461	0.165112400211	300.0	0.164398556787	0.155190246622	0.0474376085152	0.195029501618	0.173846052981	0.120698261458	0.0179788838612	2.09394521741	0.294223928879	0.293878591054	0.0201033178066	0.301247790975	0.299536763279	0.0535521196343	0.144686788922	262.233795002
FOXA1	0.7202825794	5.2266942778	5.9469768571	0.0956346442487	0.0841139846811	0.0412115784945	0.169010878455	0.147929592307	0.0745398445962	0.0921601969911	300.0	0.659086352027	0.67037160711	0.0553310077785	0.653826223932	0.661883690319	0.0281042955127	-0.181945188322	164.848780633	0.284846305078	0.270031365839	0.048731560858	0.316358855405	0.290787674509	0.143948591879	0.0558369252874	2.75534995966	0.324775835951	0.325525008425	0.016880328974	0.332280796407	0.3319236117	0.0468792092759	0.158439571275	233.703487227
FOXF2	0.7380687725	5.0133983333	5.7514671058	0.112641625328	0.102094048423	0.0402753658242	0.185946940561	0.163568600384	0.0794215342748	0.0602937680894	300.0	0.544928564124	0.554554292448	0.0346289253049	0.645241582012	0.661618345464	0.0693932129351	0.313871728382	300.0	0.332314369005	0.30119986556	0.101992981494	0.347155229824	0.31657791847	0.162585819238	0.0183840749415	1.23184168355	0.307135697896	0.307385649585	0.0149434288881	0.314293308515	0.313326709613	0.0489909882967	0.167898771371	173.491690215
ELK1	0.7458734788	7.0989505	7.8448239788	0.118533461704	0.0996133600622	0.0571502159058	0.207288066682	0.178755297165	0.0999367854975	0.00352703321466	300.0	0.643929164706	0.649734966076	0.0744472750042	0.616312771344	0.626202936492	0.0339628585454	-0.263306004098	189.023329426	0.33853669904	0.321446382574	0.068510234895	0.387026153989	0.343057462449	0.163114826839	0.000412276683463	4.10821420609	0.31621794935	0.315622642285	0.0333796634557	0.330800569777	0.319196266192	0.119978346572	0.0346377453628	60.0717181071
RFX2	0.7711111852	5.4421975556	6.2133087407	0.0717595599847	0.0680903028767	0.0265382268319	0.120185271938	0.109773333898	0.0461631526313	0.0377090389013	300.0	0.633842997211	0.650963822902	0.0301867557622	0.726076249226	0.732186435425	0.0667092936231	0.213635155447	300.0	0.312834440425	0.292110489535	0.0783363775671	0.40504046835	0.339539111189	0.192353277271	0.086404117511	9.28090551771	0.302943212922	0.302731313953	0.033228738771	0.319111763176	0.308323667033	0.107295211923	0.0449363203254	94.0878075719
MAFF	0.8222550873	5.2145415	6.0367965873	0.101108277377	0.0920523276451	0.0472164102007	0.198433571143	0.175377504212	0.0886242911219	0.120829171168	300.0	0.677718352193	0.685120614869	0.0505902078666	0.654709308784	0.665284412021	0.0259252813435	-0.264647593183	126.41899324	0.227761878941	0.219657163925	0.0588461006282	0.258090298913	0.235734049464	0.127709535126	0.0338556505223	2.32615823694	0.264847054493	0.264777171014	0.0161529491395	0.271988992725	0.270350103554	0.0559629623867	0.0895479056099	106.955783923
SP2	0.8391561746	5.1814583333	6.0206145079	0.089139961884	0.0719970237077	0.0468907217763	0.0538557896133	0.0423861946786	0.0325049296996	-0.0157266113309	300.0	0.677300820399	0.684644719551	0.0560454771081	0.646273635763	0.659103268572	0.0280816301499	-0.229807674858	259.949498025	0.358329598982	0.352690741127	0.0444844495114	0.383509085067	0.361901796511	0.112246967569	0.00907106475867	4.02525593348	0.317872675039	0.317288560421	0.0310714092133	0.327982541331	0.324123122458	0.0771700482786	0.0882369714814	151.082162627
NHLH1	0.851428791	3.9965029444	4.8479317354	0.111942108778	0.0962008507765	0.0467877603836	0.179406882656	0.146167341794	0.0875446729345	0.0529638522368	300.0	0.66872802715	0.674297842049	0.0639003761071	0.640365083363	0.655754837991	0.0303946611173	-0.292103798725	81.5830863497	0.445652750313	0.429415719131	0.0671279213026	0.509264957084	0.456245676884	0.184065266418	0.0599934469201	3.06101682488	0.333585371612	0.332540258764	0.0267659457862	0.345469138243	0.33875907605	0.0806503868064	0.104410856265	118.312976064
ZFX	0.8619202963	6.8428931111	7.7048134074	0.0884685567551	0.0804103216968	0.0238080185883	0.130574040699	0.113402478702	0.0456504355536	0.0542905399118	300.0	0.67850890916	0.683781389385	0.0678916179129	0.632083571768	0.648093559306	0.0307239243899	-0.155965358984	300.0	0.334649923391	0.311482082674	0.0710540579098	0.421551002662	0.343522727172	0.189474844691	0.0509193071277	24.856299549	0.284979024715	0.284277978431	0.0369550245845	0.306253524132	0.290012265143	0.131249161517	0.0377911786268	115.941768784
ELK4	0.8926702302	6.6488153889	7.541485619	0.0618538265866	0.054750113699	0.0259151001727	0.103779367496	0.0890346792168	0.0461746118368	0.0347426656066	300.0	0.687549422804	0.692690626058	0.0675020360793	0.623467020325	0.636000803557	0.0314652221418	-0.0488334361039	300.0	0.486799022175	0.473625806855	0.0619120217655	0.540033863705	0.502448948518	0.153087808817	0.0293933938848	8.6005965974	0.312405915378	0.311837283606	0.0276545126884	0.327082115364	0.317686964272	0.106978539041	0.0501038488709	122.282675192
CEBPB	0.9303690952	6.3966905556	7.3270596508	0.207556173519	0.179945475201	0.0600921485305	0.297613112607	0.253279034563	0.106991583865	0.00763602893625	300.0	0.648488071536	0.662693757279	0.0610625219211	0.635153546118	0.64312939666	0.0302091342149	-0.0988237923276	205.577169172	0.265003226489	0.239240753104	0.103542241472	0.314742151093	0.263569555779	0.190985934438	0.0231457800512	1.46530968224	0.298911937234	0.298845223256	0.0170238291359	0.307557691924	0.30471004147	0.0572438620403	0.145569705816	112.656910319
NFE2L2	0.9733192196	7.5595246111	8.5328438307	0.138663772886	0.126322931461	0.0399257552792	0.219001134109	0.192945731772	0.0749121764206	0.132470482508	300.0	0.562991276836	0.571279803418	0.0310177370688	0.638799659418	0.651403130063	0.0588784235204	0.24915957892	300.0	0.205721843709	0.194863380537	0.0506139735048	0.248092067418	0.208190532193	0.150700355268	0.00956410993796	2.5002137307	0.246842558718	0.246668014378	0.0214545954221	0.256587046294	0.252908637745	0.0661771712875	0.143341396392	176.890627018
BCL6	0.9825444233	5.507985	6.4905294233	0.156930703812	0.144890569375	0.0388692260657	0.21042227966	0.192208081875	0.0608100962493	0.0332871392153	300.0	0.670885255374	0.677041199594	0.0539927902963	0.649197778161	0.660668422756	0.0259491567632	-0.289539102903	135.576363808	0.418156505623	0.395491833365	0.156337787098	0.394255436164	0.384998349244	0.069470552966	-0.0539060744514	1.25740875386	0.32079100224	0.320628489484	0.0250180740924	0.32976187976	0.328035189417	0.0570774242526	0.136409708196	158.149519414
NFIL3	0.9992733968	5.4661834444	6.4654568413	0.0829133964261	0.0679758523323	0.0514105389224	0.151383599712	0.126431264457	0.0785134374236	0.078767359277	287.820996863	0.651536932056	0.669335005413	0.0655706091555	0.651306864251	0.660841714786	0.0338151152696	-0.192165790239	40.394977716	0.306344585671	0.214751386143	0.252872014231	0.2593314791	0.195605546155	0.152391435571	-0.0164502164502	0.243072202988	0.280956092252	0.279841066813	0.0171974512464	0.29105224223	0.286796361217	0.0525629266242	0.26372054893	176.258759981
PRDM1	1.0049048201	3.7260415556	4.7309463757	0.0706128458778	0.065403559377	0.0275541635471	0.121491168635	0.110290044398	0.0471356643503	0.0485097921354	300.0	0.618531516936	0.639463992744	0.0808606056057	0.60191207114	0.608920243398	0.0352000480441	-0.0769757455349	299.999999999	0.387498889865	0.36008331516	0.0952100785003	0.513162943979	0.419390585565	0.240003828345	0.128358208955	6.17979855889	0.266539896424	0.265452724886	0.027974262836	0.286215823007	0.270044939171	0.113451428991	0.019007590946	38.886303723
