FACTOR	EXPR_FOLDCHANGE	EXPR_H1hesc	EXPR_K562	HINTBCN_H1hesc_protection_mean	HINTBCN_H1hesc_protection_median	HINTBCN_H1hesc_protection_std	HINTBCN_K562_protection_mean	HINTBCN_K562_protection_median	HINTBCN_K562_protection_std	HINTBCN_protection_ks_stat	HINTBCN_protection_ks_pvalue	HINTBCN_H1hesc_tc_mean	HINTBCN_H1hesc_tc_median	HINTBCN_H1hesc_tc_std	HINTBCN_K562_tc_mean	HINTBCN_K562_tc_median	HINTBCN_K562_tc_std	HINTBCN_tc_ks_stat	HINTBCN_tc_ks_pvalue	HINTBCN_H1hesc_fos_mean	HINTBCN_H1hesc_fos_median	HINTBCN_H1hesc_fos_std	HINTBCN_K562_fos_mean	HINTBCN_K562_fos_median	HINTBCN_K562_fos_std	HINTBCN_fos_ks_stat	HINTBCN_fos_ks_pvalue	HINTBCN_H1hesc_flr_mean	HINTBCN_H1hesc_flr_median	HINTBCN_H1hesc_flr_std	HINTBCN_K562_flr_mean	HINTBCN_K562_flr_median	HINTBCN_K562_flr_std	HINTBCN_flr_ks_stat	HINTBCN_flr_ks_pvalue
EGR1	-0.3866965344	8.4510034444	8.0643069101	0.055514718309	0.0429747412699	0.0505403271693	0.084163080288	0.0663867329199	0.0767014746073	0.0031370684199	-300.0	0.621219123008	0.63050239989	0.0495054014895	0.57608081181	0.58642292966	0.0321350231425	-0.0946552042005	-300.0	0.562497492499	0.553858865083	0.0534210751897	0.551447015789	0.548449751938	0.0242608758536	-0.00345799890262	-300.0	0.340737783368	0.33887108458	0.028567715807	0.344570161014	0.339739514814	0.075365532367	0.0760567336131	-48.2266459847
CTCF	-0.3682107037	8.924475	8.5562642963	0.034037300075	0.0258327563304	0.0323165444828	0.0518197017826	0.040217380231	0.0487287632559	0.00171276265492	-300.0	0.676503471767	0.684498581632	0.0664214364636	0.580396680726	0.591931559869	0.0308488709238	-0.39429638969	-300.0	0.533766340121	0.532748941148	0.0199935016839	0.53700165363	0.533671648773	0.0425018175171	0.0199296202744	-300.0	0.327811121643	0.326895786994	0.0167668148425	0.328651638801	0.32753607094	0.0428213100551	0.0584853488262	-73.8603244722
MAFB	-0.3502367328	5.0393535	4.6891167672	0.146292673336	0.121670643013	0.116307115165	0.0905831710477	0.0688506665411	0.0831495777474	-0.0810508883774	-205.850746755	0.624759544492	0.631532662728	0.057239714769	0.581393594346	0.591723945595	0.0295497067612	-0.0853870098256	-102.696326027	0.525193712602	0.509650391678	0.0731377732049	0.495343988168	0.496832839236	0.0242124248594	-0.153173448535	-300.0	0.314484924964	0.313680303501	0.0178690633038	0.317523867196	0.314353801515	0.051024008433	0.0295522304149	-31.7189908997
E2F1	-0.3329436296	7.4081001111	7.0751564815	0.122494025176	0.0982145433214	0.10456877172	0.0784167218711	0.0605434855548	0.0695750581636	-0.0193602760237	-299.999931173	0.571976767911	0.581988202535	0.0332781428344	0.578234521828	0.587743933782	0.052271301531	0.359194069964	-7.12616941738	0.507077797775	0.500425304279	0.0621095906261	0.495254245681	0.492978378038	0.0274108097527	-0.0212246885908	-299.999975573	0.342968408364	0.342542968069	0.0193500225192	0.346036238295	0.343100552138	0.0621040732031	0.0973558685118	-7.46303862022
STAT4	-0.3171848783	2.786079	2.4688941217	0.146907423167	0.118091906283	0.118089399804	0.0961323997586	0.0710786469138	0.0910400556126	-0.0499016395068	-100.755112121	0.581397758253	0.590139638027	0.0329952195182	0.590074976124	0.597645983001	0.0652988380167	0.334358494464	-8.3310555271	0.566884317701	0.567196084879	0.0388998952949	0.566717988114	0.566344977944	0.0169538346866	-0.00215331548509	-116.737450491	0.283034380448	0.283630825065	0.0169606520674	0.28449773114	0.284163592563	0.0248389652229	0.0283497905937	-24.8841206226
MAFK	-0.2998918466	6.9924892222	6.6925973757	0.0554153268364	0.0444704783789	0.0471077407394	0.0367245882416	0.0276941872802	0.0343542855908	-0.0293095980496	-104.006683518	0.751832619949	0.760431581965	0.0732742888531	0.584795080484	0.596461954565	0.0357907100724	-0.449903789238	-198.553118952	0.429090986291	0.423324497024	0.0436392352076	0.421363330902	0.422724840706	0.0152151892736	-0.0689374221422	-235.491780511	0.269343287582	0.267538048711	0.0450415342436	0.267889840594	0.267518192424	0.0154829413222	-0.00773944823283	-47.9646706208
NFYA	-0.2796747566	8.3467323333	8.0670575767	0.128198358203	0.11373167019	0.0953256434946	0.0733587052857	0.0579435688439	0.0668767922787	-0.130135808286	-300.0	0.563713245082	0.573667243629	0.0363072042218	0.582200386929	0.588439182931	0.0451414390461	0.188176431797	-13.474051561	0.513169489406	0.497084061627	0.0826033975142	0.476060744866	0.472412762542	0.0312011108705	-0.151799474903	-300.0	0.341847738145	0.32498714328	0.123062446641	0.325760241005	0.324873407106	0.0291110700968	-0.0169369688693	-54.8803074068
GABPA	-0.261986254	8.661842	8.399855746	0.0527622183314	0.0421554034766	0.0487749353595	0.0330257434267	0.0248744951183	0.0320142536362	-0.0286643968257	-222.606891199	0.576684917669	0.58847684356	0.0345823451095	0.582147654	0.591431267088	0.053794700484	0.448150975598	-1.04108332653	0.524498789265	0.513369979253	0.0752906424896	0.499999293814	0.49538380918	0.031858064394	-0.0871851996659	-300.0	0.303884565498	0.303444959759	0.0254933542547	0.3095798451	0.303582259601	0.0842215300282	0.0733428601638	-17.6517605004
YY1	-0.2405441005	9.2155432222	8.9749991217	0.115424554426	0.0932426471683	0.0974116409514	0.0749357194122	0.0565067165571	0.0711180495822	-0.0253310437287	-142.450971768	0.623858135184	0.631956694447	0.0789565956994	0.577779467138	0.590869145667	0.0333064973959	-0.0449716824284	-121.076714555	0.585028497789	0.585545531043	0.0267965274621	0.58785896463	0.585756424948	0.0598682861886	0.0241698008497	-83.9722034007	0.347427504344	0.347753640889	0.0258229015195	0.352350893048	0.347928538199	0.0824823531534	0.0373818163529	-16.9626758117
KLF4	-0.2292124233	4.3891591111	4.1599466878	0.0888839809613	0.0737850419349	0.0749801639472	0.0581042182956	0.0459281841344	0.0506746304451	-0.0258553850999	-300.0	0.616041089578	0.625352558592	0.0652010192841	0.577255353445	0.589129891143	0.0327077665792	-0.0242437655646	-272.016726049	0.485156063974	0.470912601669	0.0693520788525	0.467304106113	0.461819520723	0.0299486321245	-0.0155720881174	-300.0	0.318725834034	0.317199299985	0.0285734534382	0.326246605202	0.317594608134	0.0966858769213	0.0809115284151	-30.4286747375
