FACTOR	EXPR_FOLDCHANGE	EXPR_H1hesc	EXPR_K562	FS_H1hesc_protection_mean	FS_H1hesc_protection_median	FS_H1hesc_protection_std	FS_K562_protection_mean	FS_K562_protection_median	FS_K562_protection_std	FS_protection_ks_stat	FS_protection_ks_pvalue	FS_H1hesc_tc_mean	FS_H1hesc_tc_median	FS_H1hesc_tc_std	FS_K562_tc_mean	FS_K562_tc_median	FS_K562_tc_std	FS_tc_ks_stat	FS_tc_ks_pvalue	FS_H1hesc_fos_mean	FS_H1hesc_fos_median	FS_H1hesc_fos_std	FS_K562_fos_mean	FS_K562_fos_median	FS_K562_fos_std	FS_fos_ks_stat	FS_fos_ks_pvalue	FS_H1hesc_flr_mean	FS_H1hesc_flr_median	FS_H1hesc_flr_std	FS_K562_flr_mean	FS_K562_flr_median	FS_K562_flr_std	FS_flr_ks_stat	FS_flr_ks_pvalue
CTCF	-0.3682107037	8.924475	8.5562642963	0.00684269835394	0.00575526038641	0.00468627166291	0.00998268031809	0.00828608241498	0.00754913148686	0.349989007217	-300.0	0.754246807849	0.760428080381	0.048134332582	0.678370793756	0.690683511605	0.0241102227218	-0.131113315976	-300.0	0.590246086399	0.590212561814	0.00129725167585	0.591393133295	0.591368598824	0.00143997709039	0.0140309597612	-300.0	0.329254171842	0.327709267561	0.045545045969	0.342881446102	0.327827970989	0.128645416246	0.0414408176646	-140.572836013
MAFB	-0.3502367328	5.0393535	4.6891167672	0.0114393963873	0.00926251865814	0.00854628982325	0.0192129269794	0.0157460948874	0.0141632466068	0.228493498293	-300.0	0.675215842959	0.689107556538	0.025438858529	0.732916345885	0.738821476129	0.0538401074569	0.0728940906565	-300.0	0.482393949407	0.482397208393	0.00110352178944	0.483205722795	0.483184435151	0.00132684754849	0.00569791535379	-300.0	0.331325732086	0.3225394305	0.103902379522	0.322323483372	0.322348108561	0.0300066686263	-0.0118879642595	-72.4555795553
E2F1	-0.3329436296	7.4081001111	7.0751564815	0.0233256352141	0.0203424205326	0.0116164512451	0.033070759638	0.0281629678697	0.019223429622	0.350063088187	-300.0	0.648674753655	0.665919612292	0.0299416813597	0.727022882545	0.732216968598	0.06849798222	0.115451972635	-300.0	0.523453967132	0.52331338512	0.00331289273542	0.524756098105	0.524002908809	0.0051981442901	0.131845786261	-300.0	0.36294453362	0.342576907564	0.156036498387	0.341743706053	0.341349712772	0.0374188604956	-0.00387712209013	-82.8116739673
STAT4	-0.3171848783	2.786079	2.4688941217	0.0163249190497	0.0139953184571	0.00823721134927	0.0268566248672	0.0215793349919	0.0148562374595	0.0526554697477	-300.0	0.763929915667	0.768300178477	0.041504765118	0.692748991467	0.70103610466	0.0199801350933	-0.183674828943	-300.0	0.637185366381	0.637171445982	0.000651493691027	0.6378436726	0.637828554018	0.00144539625703	0.00288933894972	-300.0	0.308744929812	0.308719014223	0.0749359975881	0.307990249096	0.305638024854	0.0366816002246	-0.00216546784366	-56.9671116259
MAFK	-0.2998918466	6.9924892222	6.6925973757	0.00828329904118	0.00657177152411	0.00776090599348	0.0183737208666	0.0144210912563	0.0134874221388	0.0405037848354	-300.0	0.681383199102	0.69065481626	0.0188939929632	0.717981553301	0.723168546446	0.049257629434	0.253486595299	-300.0	0.60234626916	0.602343059479	0.000750332263983	0.602786390307	0.602775050757	0.00116391732505	0.00325813018372	-300.0	0.275901260242	0.27127743385	0.079758804708	0.269559563988	0.269269829642	0.0253454704914	-0.0115493615474	-68.3586584141
NFYA	-0.2796747566	8.3467323333	8.0670575767	0.126554665805	0.112489708065	0.0560838936756	0.21399012506	0.187557096767	0.0975370217464	0.158885379559	-300.0	0.798729272716	0.810700054916	0.0813255998694	0.650588542471	0.679455346434	0.0343390224609	-0.192722111865	-300.0	0.519820654136	0.519808874552	0.00075916004314	0.519989529068	0.51999085643	0.000815013903659	0.00368895525971	-300.0	0.340442646297	0.338057258638	0.0582137842393	0.399442899348	0.34237905891	0.21912142024	0.00984790707443	-62.8012929207
GABPA	-0.261986254	8.661842	8.399855746	0.0358736863345	0.031079188927	0.0134744017289	0.0515616959771	0.0446593507952	0.0233712120936	0.217581565295	-300.0	0.627789438872	0.637759391619	0.0374382850092	0.654692588659	0.682625932755	0.0786055011812	0.185281974969	-300.0	0.516999137263	0.516789374821	0.00297247765392	0.517239888621	0.516804375179	0.00536763006054	0.0520319588918	-300.0	0.304928097501	0.304063488953	0.0399857894761	0.319934091787	0.304511041344	0.135855562765	0.00993355489665	-84.9598287702
YY1	-0.2405441005	9.2155432222	8.9749991217	0.0121862178944	0.00959160214536	0.0094928236932	0.019671456908	0.0155206406953	0.0153088624799	0.126979835318	-300.0	0.761146447847	0.768102706143	0.0573298250424	0.672981828448	0.689157039285	0.0265049652614	-0.115564534903	-300.0	0.592817670183	0.592757360381	0.00173472737577	0.592981385056	0.592970851745	0.00186765024542	0.0103398212445	-300.0	0.356334305652	0.348016970743	0.116148242836	0.347991327699	0.347716298284	0.0349404113106	-0.00759672412558	-63.9470142234
KLF4	-0.2292124233	4.3891591111	4.1599466878	0.0252813909772	0.0225035996597	0.010465284471	0.0353538478092	0.0309015834103	0.0174318493014	0.335098965405	-300.0	0.752923260324	0.762288946422	0.0677558652797	0.661616049898	0.685916003731	0.0309820279468	-0.0266267859018	-300.0	0.478587841765	0.47853568154	0.00167194843266	0.478804669318	0.478806487976	0.00192441771127	0.0185072991288	-300.0	0.334402524835	0.326381319542	0.053344265452	0.366826000309	0.329329313163	0.185129853148	0.0401175135592	-140.427527808
SRF	-0.2054848492	8.3513662778	8.1458814286	0.0104497058055	0.00886106061403	0.00870996937688	0.0199811984981	0.016537463223	0.0144333085106	0.101412508867	-300.0	0.769844087082	0.774794601979	0.0443764020857	0.690747153802	0.700258714127	0.0206498160337	-0.2000149157	-300.0	0.592257685681	0.592258418879	0.00065819025219	0.592856284847	0.592848809079	0.00142438875015	0.0034573618309	-300.0	0.316667144985	0.313335601773	0.0792804915898	0.314502810948	0.311497605892	0.0341034307381	-0.0117466585439	-62.7092435809
