FACTOR	EXPR_FOLDCHANGE	EXPR_H1hesc	EXPR_K562	Neph_H1hesc_protection_mean	Neph_H1hesc_protection_median	Neph_H1hesc_protection_std	Neph_K562_protection_mean	Neph_K562_protection_median	Neph_K562_protection_std	Neph_protection_ks_stat	Neph_protection_ks_pvalue	Neph_H1hesc_tc_mean	Neph_H1hesc_tc_median	Neph_H1hesc_tc_std	Neph_K562_tc_mean	Neph_K562_tc_median	Neph_K562_tc_std	Neph_tc_ks_stat	Neph_tc_ks_pvalue	Neph_H1hesc_fos_mean	Neph_H1hesc_fos_median	Neph_H1hesc_fos_std	Neph_K562_fos_mean	Neph_K562_fos_median	Neph_K562_fos_std	Neph_fos_ks_stat	Neph_fos_ks_pvalue	Neph_H1hesc_flr_mean	Neph_H1hesc_flr_median	Neph_H1hesc_flr_std	Neph_K562_flr_mean	Neph_K562_flr_median	Neph_K562_flr_std	Neph_flr_ks_stat	Neph_flr_ks_pvalue
HNF4A	0.2292460529	4.6226812222	4.8519272751	0.0318268968979	0.0203066523484	0.0339078529714	0.02027406698	0.0132038258206	0.0222779417684	-0.0353936070015	11.8131982937	0.662542852423	0.673833326053	0.0240588059678	0.771162669246	0.770856859137	0.0444157730359	0.413351343604	300.0	0.551912604218	0.55352865754	0.0142720803915	0.557497808697	0.558469122704	0.0279646370301	0.0852816440565	300.0	0.320606853739	0.320365479156	0.0138752387121	0.323953292632	0.323261554781	0.0328907051175	0.0709427916642	300.0
LHX3	0.2294760397	5.8396682778	6.0691443175	0.0186844503289	0.0127008667902	0.0214936160376	0.0342307135877	0.022261942899	0.0384104255289	0.0109430896275	11.209599657	0.683668204465	0.690814565623	0.0159298368393	0.738296590054	0.740586814787	0.0377218527545	0.283837647049	300.0	0.520362113311	0.522181277704	0.0124591610126	0.520387273867	0.52684415389	0.0301645829102	0.197158269386	300.0	0.292071403623	0.29260124401	0.0118290348008	0.294876708961	0.29485671265	0.0274184904385	0.137363107727	300.0
FOXL1	0.2431875291	6.5360874444	6.7792749735	0.0315293217298	0.0215137748304	0.0319266225327	0.0190296695245	0.0132490596016	0.0192494221265	-0.0207816464044	9.01194914292	0.663614495753	0.674286057059	0.0488139260824	0.655461527375	0.660654196377	0.0223411070454	-0.119225963243	300.0	0.555115206262	0.556300624674	0.0118796421278	0.557933782614	0.561407855642	0.025679374153	0.243901777119	300.0	0.574397924063	0.605517926671	0.310473014222	0.787275168229	1.0112935082	0.332678573143	0.216238262139	261.246844246
RUNX2	0.2524618492	4.7753810556	5.0278429048	0.0187815196029	0.0120257884343	0.0202136958398	0.0332954343497	0.0225228676647	0.0325608902464	0.0262879274316	26.6388427947	0.653423352366	0.666802282932	0.0251863386207	0.713002310388	0.717660920484	0.0514795674857	0.134077681775	300.0	0.575873424936	0.57724922348	0.0169088676147	0.581853448305	0.58264683542	0.0341424503947	0.132458536115	300.0	0.299245803601	0.299612116609	0.0143401896807	0.303464980904	0.302433763758	0.0357860091159	0.0960974460292	300.0
FOXI1	0.2527243095	4.8473536111	5.1000779206	0.0334384450283	0.0232415837293	0.0319931332357	0.0210117752743	0.0152797860394	0.0200865987457	-0.0181537397211	16.3646833955	0.710011765309	0.71415204747	0.0428761272457	0.67557761899	0.684159769902	0.019467128663	-0.0155851023952	300.0	0.48006192888	0.481455763792	0.0104969317019	0.481840566895	0.485959966544	0.023538818579	0.19276437138	300.0	0.312805077057	0.313562689463	0.0116306439665	0.317210163771	0.316496188312	0.0290535479491	0.189699471117	300.0
FOXA2	0.2621107354	5.80296	6.0650707354	0.0307399606913	0.0209859362355	0.0332838309059	0.0181944712639	0.0123456733879	0.0190468090302	-0.00305885368115	12.7500318316	0.661719285712	0.670873405752	0.0488334258474	0.650843609262	0.655470664506	0.0221787721432	-0.105135354757	300.0	0.491368333606	0.492602471307	0.0101422889401	0.49318585276	0.497295661121	0.0252758729498	0.189771649032	300.0	0.336031819818	0.335580798653	0.0113241868321	0.338555052766	0.338701241996	0.027916642173	0.160025011211	300.0
HSF1	0.2691316561	6.99869	7.2678216561	0.0325587955111	0.0192653724412	0.0344380755791	0.0192063923742	0.0119607624335	0.0225361398338	-0.0170652537573	9.33129595751	0.694795582689	0.698892189406	0.0529384181878	0.653082176538	0.667372687096	0.0257323534444	-0.0830259238837	300.0	0.484461443455	0.484513634961	0.0182791645239	0.490389849118	0.489192087109	0.0366580028827	0.0659683604673	300.0	0.320506672181	0.320736858231	0.0140436345121	0.322598417613	0.322999495104	0.0346090664391	0.0444594646648	300.0
E2F4	0.2733595026	8.0240553333	8.297414836	0.0207790379775	0.0143195666051	0.0218621552247	0.036274192142	0.0264730406111	0.0342028297637	0.041114348666	16.6973520403	0.620371995412	0.634695119553	0.0291765492164	0.716623939508	0.721459344862	0.0679831074045	0.184932746395	300.0	0.480349996781	0.47413947658	0.0412088407553	0.470231094351	0.467664779112	0.0211388192568	-0.0284592422676	300.0	0.336719641565	0.336638337761	0.0189193921836	0.343033632619	0.339716676138	0.0646762739879	0.05096449183	300.0
ZNF143	0.2803748095	6.154257	6.4346318095	0.0216386888412	0.0143949948307	0.0224624246727	0.0378101540297	0.0264700877927	0.0365164807059	0.0352357087683	12.7659792072	0.662009579429	0.673772802206	0.0238167452723	0.756683509375	0.760826382584	0.0475644746503	0.381022460976	300.0	0.579604456079	0.580786991662	0.0143085873262	0.585174079154	0.586514719069	0.0304030732479	0.127197465434	300.0	0.335623136942	0.33573808789	0.0142267091376	0.339608320006	0.33884646659	0.0349569821734	0.119507692911	300.0
FOXP1	0.2832819392	6.9324866111	7.2157685503	0.0177759578211	0.0123722207501	0.0186438162034	0.0310120361051	0.0214181420775	0.0315132612435	0.0130313900031	51.3087123313	0.682300597757	0.69012891449	0.0170626974457	0.753679064837	0.756913496502	0.0399380250347	0.359444574471	300.0	0.480122194771	0.481639697985	0.0116974190872	0.482462336391	0.486415295949	0.0268896982339	0.172616804846	300.0	0.384691459097	0.385962629817	0.0140232426398	0.386151435855	0.388103694673	0.0354082644482	0.115624928472	300.0
