FACTOR	EXPR_FOLDCHANGE	EXPR_GM12878	EXPR_K562	Centipede_99_GM12878_protection_mean	Centipede_99_GM12878_protection_median	Centipede_99_GM12878_protection_std	Centipede_99_K562_protection_mean	Centipede_99_K562_protection_median	Centipede_99_K562_protection_std	Centipede_99_protection_ks_stat	Centipede_99_protection_ks_pvalue	Centipede_99_GM12878_tc_mean	Centipede_99_GM12878_tc_median	Centipede_99_GM12878_tc_std	Centipede_99_K562_tc_mean	Centipede_99_K562_tc_median	Centipede_99_K562_tc_std	Centipede_99_tc_ks_stat	Centipede_99_tc_ks_pvalue	Centipede_99_GM12878_fos_mean	Centipede_99_GM12878_fos_median	Centipede_99_GM12878_fos_std	Centipede_99_K562_fos_mean	Centipede_99_K562_fos_median	Centipede_99_K562_fos_std	Centipede_99_fos_ks_stat	Centipede_99_fos_ks_pvalue	Centipede_99_GM12878_flr_mean	Centipede_99_GM12878_flr_median	Centipede_99_GM12878_flr_std	Centipede_99_K562_flr_mean	Centipede_99_K562_flr_median	Centipede_99_K562_flr_std	Centipede_99_flr_ks_stat	Centipede_99_flr_ks_pvalue
FOXP2	-0.217106004	2.4335675278	2.2164615238	0.337420613024	0.328722582532	0.159725087755	0.46070510238	0.444720078922	0.21812583404	0.0440361481117	-16.9720255569	0.740266254303	0.756209659395	0.066196262634	0.679115434339	0.685110440967	0.0421076743093	-0.285298711247	-300.0	0.600714052775	0.600926799191	0.0469826802799	0.593884125325	0.592837633475	0.0212599182723	-0.0724458204334	-2.1136704335	0.350497416039	0.331007947803	0.134287804913	0.320287669188	0.323471463478	0.0371793294999	-0.0698747443763	-3.65410217142
TCF7L1	-0.2158135534	8.4069930667	8.1911795132	0.314468618063	0.313340903077	0.150663109273	0.206458449546	0.19803557616	0.105811242825	-0.0391685192455	-154.58600515	0.750766689378	0.763207290583	0.0312741521049	0.784622089313	0.788702167503	0.0551490310502	0.042997591106	-300.0	0.492940781894	0.489105127534	0.0568038873834	0.493033517478	0.490490999667	0.0619952514935	0.0936001976773	-0.291755611695	0.301889690854	0.298793739932	0.0530269409348	0.30976809795	0.300369717162	0.110311939466	0.0577046876417	-2.35369109959
SP2	-0.1813165365	6.2019310444	6.0206145079	0.237848940282	0.229204114886	0.109142670468	0.329547763998	0.309614468616	0.157798788766	0.0453160698928	-40.6344856591	0.755185807469	0.767915654617	0.0317167195453	0.783949913902	0.78790180953	0.0549145548416	0.0866848286707	-288.973862302	0.726217641955	0.724583141227	0.0362827404209	0.717567330302	0.714909104011	0.0212718131055	-0.227464356776	-9.46900951448	0.287916596155	0.288199544928	0.0335047489456	0.324852157357	0.290226779762	0.159699207591	0.0296093386329	-3.60697442517
INSM1	-0.1721305868	6.3427609889	6.1706304021	0.260586273511	0.246311867708	0.125679196487	0.379788240517	0.364811431007	0.182661208434	0.00904807987585	-96.1219251163	0.834805284913	0.840976700072	0.0591390162521	0.759843747302	0.775059082383	0.0368498001388	-0.342027978261	-300.0	0.656489824262	0.653322724159	0.0309108759715	0.659609884937	0.656113124703	0.0444964352913	0.0566300030553	-0.355580263971	0.235344715947	0.23128111609	0.0723860369283	0.253597607237	0.235485552729	0.146247883159	0.0508726944774	-2.00114565354
MAX	-0.1670527532	6.8057894833	6.6387367302	0.265003763496	0.257787757806	0.137221050943	0.374181789099	0.358036453857	0.199748210482	0.0287532914972	-15.4064027111	0.757025766693	0.76293290469	0.0402252231403	0.75979827635	0.772487663603	0.0581828587119	0.139381700232	-69.6147711131	0.358233161204	0.353842397189	0.0294757880004	0.360846973232	0.35876661196	0.0427807027946	0.0160299003322	-1.33067706958	0.265245818761	0.244971189856	0.11371381982	0.2673638056	0.247943618086	0.133691948022	0.0389361702128	-0.952028660485
MAFK	-0.1667808765	5.9367657389	5.7699848624	0.362888047451	0.354505455259	0.18211138148	0.236048891391	0.225304451678	0.13429829838	-0.0193656537922	-39.1275093604	0.769039077011	0.779658841261	0.0356518472945	0.79424526235	0.799359526524	0.0508524532052	0.0895609335685	-138.527585908	0.809796060672	0.811003300545	0.051604863134	0.80481703933	0.803591788165	0.0193470043343	-0.157843137255	-2.37388937215	0.272710255876	0.252652532468	0.129051989335	0.251064609129	0.245824700628	0.0657515761702	-0.0581103000811	-4.33672265077
PAX2	-0.1591111566	5.4571127333	5.2980015767	0.421074426454	0.40707720326	0.197525051721	0.261952804761	0.237770377655	0.142571323086	-0.0519045751037	-41.6434989454	0.699494302218	0.70728440115	0.0465622780871	0.70922715087	0.728094911245	0.0883064537945	0.0437725740801	-72.1902042661	0.433915887412	0.436089329024	0.0907879589631	0.417145251388	0.43185246493	0.0729059159746	-0.149016253208	-0.50339584798	0.231019683318	0.184963486163	0.169641848328	0.236138501405	0.188239835224	0.214099615766	0.0927696078431	-0.0134958547367
ZNF354C	-0.1560589466	2.5165529889	2.3604940423	0.232468716496	0.221630355061	0.121893764374	0.347452228048	0.331761796374	0.175499463198	0.00727455993733	-30.3628634242	0.764139164355	0.777507537194	0.041814072449	0.785018978521	0.792452309525	0.0572954197638	0.154707305166	-53.3434024535	0.392799067512	0.39109869638	0.0647953405379	0.378734198968	0.3753732725	0.0533467315972	-0.106213601816	-3.26525838498	0.269598492871	0.268899395446	0.0475679598949	0.305535166929	0.2709263758	0.182866178804	0.0572229227967	-0.793748366747
CTCF	-0.1501554426	8.7064197389	8.5562642963	0.225194123037	0.206136075211	0.121069433031	0.323224826392	0.297273750615	0.168913685689	0.0522197307261	-141.477549629	0.800605999546	0.805438154744	0.0586098368574	0.74899866951	0.762690545942	0.0347227897792	-0.103763344329	-300.0	0.593413998118	0.592213166739	0.0436642418144	0.584665237544	0.588815860347	0.0311660501719	-0.0418306636156	-3.4674567227	0.317883020844	0.300728029905	0.134220238302	0.298715801981	0.295877612969	0.067632546958	-0.0132076199176	-15.851706283
HNF1A	-0.1420992513	4.9258633889	4.7837641376	0.296424642479	0.291394156509	0.157566745976	0.408896005247	0.416993988725	0.212790683882	0.036146384297	-6.65872280491	0.749283128752	0.763345244237	0.0624515975402	0.695083376202	0.702489604993	0.0423305077032	-0.284623838697	-300.0	0.575682951653	0.562672916571	0.083874896504	0.553526192903	0.555285027521	0.0761917069049	-0.058018327606	-0.76547062973	0.235575927639	0.237240967209	0.0782666583173	0.244928874435	0.240809655328	0.0918230530867	0.018045112782	-0.581611740289
