FACTOR	EXPR_FOLDCHANGE	EXPR_GM12878	EXPR_K562	HINTBCN_GM12878_protection_mean	HINTBCN_GM12878_protection_median	HINTBCN_GM12878_protection_std	HINTBCN_K562_protection_mean	HINTBCN_K562_protection_median	HINTBCN_K562_protection_std	HINTBCN_protection_ks_stat	HINTBCN_protection_ks_pvalue	HINTBCN_GM12878_tc_mean	HINTBCN_GM12878_tc_median	HINTBCN_GM12878_tc_std	HINTBCN_K562_tc_mean	HINTBCN_K562_tc_median	HINTBCN_K562_tc_std	HINTBCN_tc_ks_stat	HINTBCN_tc_ks_pvalue	HINTBCN_GM12878_fos_mean	HINTBCN_GM12878_fos_median	HINTBCN_GM12878_fos_std	HINTBCN_K562_fos_mean	HINTBCN_K562_fos_median	HINTBCN_K562_fos_std	HINTBCN_fos_ks_stat	HINTBCN_fos_ks_pvalue	HINTBCN_GM12878_flr_mean	HINTBCN_GM12878_flr_median	HINTBCN_GM12878_flr_std	HINTBCN_K562_flr_mean	HINTBCN_K562_flr_median	HINTBCN_K562_flr_std	HINTBCN_flr_ks_stat	HINTBCN_flr_ks_pvalue
REST	-0.3104942741	7.8934747556	7.5829804815	0.262151039952	0.208683547705	0.155645621563	0.291941625638	0.226871822719	0.214168217132	0.0166161831455	-56.9612211238	0.76858154572	0.78586378426	0.0604756967062	0.751133437646	0.759543115411	0.0329814729095	-0.115974740743	-300.0	0.498573953798	0.48188818681	0.0658809635757	0.483624215619	0.475566881486	0.0365019083984	-0.0349259366831	-243.489887796	0.333332797218	0.332148763205	0.0379881504551	0.327706910691	0.327702071854	0.0149602605514	-0.110819338765	-300.0
RXRA	-0.3028018288	7.0916307389	6.7888289101	0.356033624485	0.29030484111	0.222757493949	0.308930318098	0.278357368517	0.156924167161	-0.00977306529276	-70.3225810114	0.842751903713	0.8495358661	0.0493000640344	0.781987868578	0.795130995221	0.0272411246735	-0.391747587895	-300.0	0.41070621712	0.408588859392	0.0329028806881	0.418751806658	0.414079086866	0.0556878337558	0.00849920732781	-144.152474098	0.308030084171	0.307203049312	0.0351944015588	0.303388644684	0.303277210801	0.015748249813	-0.0730420574026	-300.0
USF1	-0.3023841979	7.3838312667	7.0814470688	0.347071141813	0.310039600779	0.224206435611	0.287958465461	0.267422152937	0.152926442838	-0.0233197190971	-59.9501056307	0.745228587858	0.768363312181	0.0788452157073	0.723828054507	0.736317543816	0.0411949145153	-0.126681572937	-300.0	0.570810294702	0.552954973581	0.0629061873393	0.552975572944	0.545619170906	0.0355527283203	-0.0539021448876	-300.0	0.342046886949	0.337559539256	0.0638080491875	0.333235390848	0.332940925178	0.0219834401826	-0.13586439648	-300.0
YY1	-0.2742424783	9.2492416	8.9749991217	0.422578567299	0.366260371206	0.228972277334	0.362638853959	0.334481091152	0.162482132723	-0.0213807807341	-69.6177319968	0.838508206329	0.847458612842	0.0571936283852	0.771479136631	0.78731240878	0.0307043420292	-0.341752719415	-300.0	0.645179995318	0.633031178717	0.0599511276155	0.633838088029	0.62562836352	0.037590246792	-0.0111872146119	-130.144796043	0.351659747238	0.35022979927	0.0492426773808	0.345435330053	0.345402731731	0.0178762833122	-0.118498687394	-300.0
RELA	-0.2724742439	8.8449193444	8.5724451005	0.462629504119	0.410117827765	0.217223013434	0.403901892022	0.374477482176	0.151000043271	-0.0197586865755	-51.3955568726	0.858183840205	0.865199352025	0.0508449742686	0.78291642826	0.797345057194	0.0284385078727	-0.466593649317	-300.0	0.44563295878	0.441758141807	0.0315308011599	0.449633072455	0.443988226811	0.0424791860195	0.00603646929165	-258.580755011	0.314495317105	0.314000794134	0.0335516112843	0.309684669647	0.309724930154	0.0128956319535	-0.0960842316074	-300.0
NR2F1	-0.269684032	5.6412763389	5.3715923069	0.412302372189	0.357932737233	0.24576376933	0.363710069427	0.340344828129	0.176317210398	-0.014022628391	-24.6817251458	0.819522995736	0.827640886002	0.0512539777558	0.775848600833	0.787545502794	0.0326393442513	-0.181890795772	-300.0	0.454986809853	0.458205926897	0.0473369014583	0.448163278414	0.451852382141	0.0312378212302	-0.0493498049415	-150.17319327	0.330491435793	0.330046591634	0.0305632196213	0.32539023427	0.3253250125	0.0173044055488	-0.134390222409	-300.0
SOX10	-0.2637979979	5.3629255111	5.0991275132	0.334928258852	0.295865896682	0.164397650408	0.387297525031	0.314619162976	0.227339881701	0.00827363351695	-50.8249391912	0.769772454386	0.787446148764	0.0324234071	0.787356167632	0.796231512504	0.0595124077949	0.182790314293	-191.579260367	0.4532198497	0.448936886653	0.0323982460988	0.462614928801	0.455299248086	0.0555677275148	0.00723672527082	-144.486713047	0.335016732864	0.333656681737	0.0399541231178	0.328921385575	0.328907334139	0.0136392289192	-0.154233029731	-300.0
NFYA	-0.2394532122	8.3065107889	8.0670575767	0.299166018345	0.220024135271	0.163086078171	0.310385147423	0.266816265085	0.216284306064	0.0479679859693	-46.1918962612	0.812286359966	0.831744584725	0.0974171742092	0.723414160921	0.759667628424	0.0498452032449	-0.188457959173	-300.0	0.468940552233	0.439743915755	0.0887822933565	0.42986607104	0.41888542594	0.0419470757293	-0.104482758621	-300.0	0.356891415451	0.341116285546	0.117604874918	0.338601350822	0.336295756944	0.0501579867242	-0.0234933773321	-300.0
FOXP2	-0.217106004	2.4335675278	2.2164615238	0.321169357929	0.292923705476	0.217158228702	0.297508041699	0.264825878887	0.15618879609	-0.00826444886454	-63.9578774025	0.763266667076	0.775297694974	0.0588427427541	0.698247900727	0.705277325855	0.0315716505902	-0.39209464763	-300.0	0.507225853958	0.515054174387	0.034890192391	0.502802010566	0.507011408683	0.0239861726905	-0.0815918231953	-300.0	0.328114224272	0.328106980717	0.0304716478517	0.323696696724	0.323468134487	0.012164915859	-0.0950521660331	-300.0
TCF7L1	-0.2158135534	8.4069930667	8.1911795132	0.375593005406	0.330631047222	0.248364162351	0.300825214873	0.270680172198	0.172054430024	-0.0425659297928	-142.250835096	0.774670800483	0.789918607366	0.0302020794491	0.795020610513	0.803156508131	0.0540683367047	0.156378509345	-300.0	0.432348359082	0.429594612054	0.0473276862079	0.425536355558	0.42321379594	0.0274458886235	-0.00714285714286	-300.0	0.321853037857	0.321864647789	0.0333129277079	0.317528325507	0.317522946133	0.0120503621486	-0.13613755818	-300.0
