FACTOR	EXPR_FOLDCHANGE	EXPR_GM12878	EXPR_K562	HINTBC_GM12878_protection_mean	HINTBC_GM12878_protection_median	HINTBC_GM12878_protection_std	HINTBC_K562_protection_mean	HINTBC_K562_protection_median	HINTBC_K562_protection_std	HINTBC_protection_ks_stat	HINTBC_protection_ks_pvalue	HINTBC_GM12878_tc_mean	HINTBC_GM12878_tc_median	HINTBC_GM12878_tc_std	HINTBC_K562_tc_mean	HINTBC_K562_tc_median	HINTBC_K562_tc_std	HINTBC_tc_ks_stat	HINTBC_tc_ks_pvalue	HINTBC_GM12878_fos_mean	HINTBC_GM12878_fos_median	HINTBC_GM12878_fos_std	HINTBC_K562_fos_mean	HINTBC_K562_fos_median	HINTBC_K562_fos_std	HINTBC_fos_ks_stat	HINTBC_fos_ks_pvalue	HINTBC_GM12878_flr_mean	HINTBC_GM12878_flr_median	HINTBC_GM12878_flr_std	HINTBC_K562_flr_mean	HINTBC_K562_flr_median	HINTBC_K562_flr_std	HINTBC_flr_ks_stat	HINTBC_flr_ks_pvalue
NRF1	0.2705882836	6.4108549333	6.6814432169	0.0420386747509	0.0367950945045	0.033237942433	0.0683402421406	0.0573639149528	0.0467082337709	0.16802980136	148.432230891	0.621559507647	0.626378303881	0.0366663250331	0.630557380227	0.632045585841	0.101060705586	0.0418120910104	16.0221677446	0.417830632839	0.417038788644	0.0373653956355	0.418429090583	0.418158258403	0.0580600306779	0.00037579487486	11.5294446636	0.337305382785	0.337362218701	0.0116373402412	0.347074148109	0.345798993491	0.0317585316877	0.330566033686	300.0
TFAP2A	0.2800466492	3.4869517	3.7669983492	0.0823219598861	0.0690435155776	0.0499710515253	0.13485786462	0.12275485434	0.072638810752	0.0355548582638	218.077264594	0.689777998608	0.697900476444	0.0846408238001	0.664401604673	0.676581278298	0.0417217679946	-0.0159627185431	64.6821211739	0.423698365934	0.422868110077	0.0394049690235	0.435069868031	0.433534115273	0.0598098463424	0.0742486472542	92.9375534213	0.298010115716	0.297937558138	0.0146399589337	0.307622457372	0.305632090743	0.0409832196154	0.332091519764	300.0
FOXA2	0.2824259243	5.7826448111	6.0650707354	0.0469163606627	0.0353824571741	0.030470976105	0.0650430943901	0.0537608275477	0.0612781738627	0.122635537051	97.5990809365	0.614138322709	0.619991543088	0.0376052323426	0.644658993458	0.646780608444	0.0791786574648	0.127686204405	33.6212372357	0.403567281776	0.40475159372	0.0320812286311	0.406135517881	0.406869252187	0.0481475891093	0.0137993426581	21.3335251301	0.333507852174	0.33313131932	0.0127526443747	0.341097423084	0.341182856546	0.0282757033772	0.291951814974	300.0
HNF4A	0.288795264	4.5631320111	4.8519272751	0.100633763365	0.0854255003783	0.0677536653894	0.161762948584	0.136201872176	0.0776159511802	0.0922771138893	136.688883853	0.618510439136	0.626334239347	0.042011891964	0.642966468528	0.657024226857	0.0925547179395	0.153394541179	86.5240774864	0.660344976047	0.660625229454	0.0336315699122	0.674226663584	0.674661186788	0.0574085562127	0.118044631725	77.8168785221	0.317867110426	0.317878360102	0.0147744586855	0.326430990505	0.325755005953	0.032587837876	0.30309903339	300.0
KLF4	0.2972105934	3.8627360944	4.1599466878	0.0966922697246	0.0884855004031	0.0566565427964	0.059745321396	0.054913715983	0.0284877646678	-0.0337499516994	300.0	0.650809913701	0.660814947726	0.0418791803478	0.732399830364	0.737089114434	0.0816875425838	0.277976768324	300.0	0.463401585921	0.454670941237	0.0514863822331	0.487376513047	0.47397509022	0.0819562691181	0.0736954374427	237.136327521	0.325779389755	0.325466840859	0.0218745702216	0.336095742159	0.332722808736	0.0707643917176	0.253034613045	300.0
MAFF	0.3007221317	5.7360744556	6.0367965873	0.0466454552663	0.0371863379851	0.0365780112987	0.0634915991985	0.0547091747169	0.0635888443549	0.0677274024912	82.2029810742	0.621671667501	0.62566860246	0.0355030881731	0.648013859265	0.652309279037	0.0771853513894	0.114797582981	53.7583940604	0.391456306167	0.390893761868	0.0353525954362	0.413614623824	0.4089244327	0.0624617616408	0.169271760516	98.7068855823	0.272736039602	0.27267780239	0.0113424376492	0.279791493534	0.27928955061	0.0347502728108	0.180758122795	300.0
EGR1	0.3257248989	7.7385820111	8.0643069101	0.151320451797	0.136238675077	0.086664442521	0.0944207050555	0.0853038934562	0.0461288631862	-0.0264485508135	300.0	0.663075423416	0.673221219539	0.0396819416499	0.738305469585	0.743806630258	0.0767636041248	0.271689903619	300.0	0.468367807063	0.462233007281	0.0465476241494	0.489750685633	0.480687448397	0.0743649495432	0.106166507395	300.0	0.335092790894	0.334984199749	0.0192199339114	0.346339375956	0.343324864839	0.0586125850084	0.308327939309	300.0
FOXA1	0.3421642349	5.6048126222	5.9469768571	0.0490508484286	0.0362217502973	0.0313613459259	0.0661016589104	0.0545633130998	0.0605987297905	0.117462737756	110.485314057	0.615361563646	0.621293258373	0.037274718093	0.641499557874	0.64618736902	0.0922967294131	0.141907716889	38.3535263036	0.404411878222	0.404886820017	0.0317322016684	0.407498435576	0.407960437444	0.0497509874485	0.0185919471334	26.4259150434	0.324560568602	0.324830444602	0.015654855573	0.333252689344	0.333392506136	0.0306165409002	0.299624252469	300.0
ZNF143	0.3452436317	6.0893881778	6.4346318095	0.0523295423805	0.0400112235172	0.0401987902651	0.0723099208184	0.0586962062351	0.0608819439477	0.0578479600158	70.3118658048	0.627629559901	0.633787777454	0.039513481165	0.649685766517	0.661192391341	0.0893066044834	0.126222597283	35.878017626	0.475551562733	0.475223161991	0.0374449437179	0.486074383318	0.485531866077	0.0611283504277	0.0939597820949	37.4077886306	0.332958559053	0.332938633242	0.0123681483134	0.342208378725	0.341470504394	0.034574781066	0.338179415693	300.0
RUNX2	0.3618333603	4.6660095444	5.0278429048	0.0563972201978	0.0499042421884	0.0330168010799	0.0903739021438	0.0752961925277	0.0536680566201	0.102863592227	193.516695858	0.61819186907	0.623226526228	0.0375828943283	0.644965762968	0.65132250841	0.091048323217	0.11627949302	99.8580482433	0.477432424427	0.475929007534	0.038199949096	0.484276916238	0.483005266458	0.0624657651394	0.0410474181782	45.4873968491	0.296938271593	0.296997042684	0.0149912729678	0.305926293459	0.304893568821	0.0357012722768	0.274394503161	300.0
