FACTOR	EXPR_FOLDCHANGE	EXPR_GM12878	EXPR_K562	PIQ_90_GM12878_protection_mean	PIQ_90_GM12878_protection_median	PIQ_90_GM12878_protection_std	PIQ_90_K562_protection_mean	PIQ_90_K562_protection_median	PIQ_90_K562_protection_std	PIQ_90_protection_ks_stat	PIQ_90_protection_ks_pvalue	PIQ_90_GM12878_tc_mean	PIQ_90_GM12878_tc_median	PIQ_90_GM12878_tc_std	PIQ_90_K562_tc_mean	PIQ_90_K562_tc_median	PIQ_90_K562_tc_std	PIQ_90_tc_ks_stat	PIQ_90_tc_ks_pvalue	PIQ_90_GM12878_fos_mean	PIQ_90_GM12878_fos_median	PIQ_90_GM12878_fos_std	PIQ_90_K562_fos_mean	PIQ_90_K562_fos_median	PIQ_90_K562_fos_std	PIQ_90_fos_ks_stat	PIQ_90_fos_ks_pvalue	PIQ_90_GM12878_flr_mean	PIQ_90_GM12878_flr_median	PIQ_90_GM12878_flr_std	PIQ_90_K562_flr_mean	PIQ_90_K562_flr_median	PIQ_90_K562_flr_std	PIQ_90_flr_ks_stat	PIQ_90_flr_ks_pvalue
FOXP2	-0.217106004	2.4335675278	2.2164615238	0.143509949913	0.116192573885	0.118458857635	0.0911748345254	0.0726280628256	0.0725912846607	-0.0033993254215	-71.4296795691	0.718167541197	0.724740625162	0.0434879356885	0.734287303745	0.746446225861	0.0680041951737	0.0360192711143	-165.983018848	0.516375774522	0.519023537996	0.0244726916195	0.52160337376	0.528649775248	0.0378023583018	0.0190414988521	-300.0	0.328648865116	0.32825457379	0.0325416839169	0.323694242577	0.323462153309	0.0129605558326	-0.0972511288529	-300.0
TCF7L1	-0.2158135534	8.4069930667	8.1911795132	0.0975270335193	0.0754420299494	0.0837312547277	0.0609767534611	0.0475296307549	0.0504983346492	-0.00682793479957	-250.443092839	0.762414379074	0.766532590365	0.0682718811519	0.706939298633	0.71667941167	0.0367838885769	-0.108295143153	-300.0	0.460013392634	0.460906222955	0.0224319546556	0.467593161542	0.467855329725	0.034490515711	0.0241618980758	-300.0	0.331302594549	0.331300518557	0.0201387388365	0.331796122782	0.333966371026	0.0415178169701	0.0945239482697	-299.997066988
SP2	-0.1813165365	6.2019310444	6.0206145079	0.0764768535876	0.0591835240412	0.0652785433706	0.119835684361	0.0908605487565	0.105725448328	0.0149674607312	-168.809805268	0.78738469023	0.790689412407	0.0635604189132	0.746374489931	0.757616267531	0.0341691533495	-0.0206088105682	-300.0	0.499504008803	0.498307687396	0.0280796701867	0.503655677176	0.506145155194	0.0353122598496	0.0356609432867	-300.0	0.32539914946	0.323498374686	0.0423741943944	0.31800361741	0.318086104746	0.0196191021662	-0.0527313302674	-300.0
INSM1	-0.1721305868	6.3427609889	6.1706304021	0.0713902532409	0.0531140102925	0.0649689095954	0.0437996617088	0.0334151787598	0.0394327069843	-0.0053170023336	-205.654198704	0.823581231336	0.829703149573	0.0705197356035	0.705768574176	0.714978260249	0.0380088110384	-0.44420175575	-300.0	0.475820079467	0.474032145035	0.0328760607454	0.465197553784	0.46640696867	0.020222075587	-0.0440130943	-300.0	0.302412142594	0.298856857978	0.0492958286121	0.294028638503	0.293498863652	0.0227876041094	-0.0803252946291	-300.0
MAX	-0.1670527532	6.8057894833	6.6387367302	0.101343869794	0.0790388186714	0.0851798539833	0.157539194486	0.121043598624	0.136740613553	0.00454736219454	-61.5751682657	0.743355102011	0.748820224712	0.0443428346967	0.749400168465	0.76132640521	0.0622415679876	0.13564130803	-83.4256424094	0.46637937454	0.46887814097	0.0237454867284	0.460191181715	0.461250666184	0.0159347041716	-0.0762758814326	-300.0	0.31271683865	0.313986313988	0.0308647588928	0.310929338538	0.310055571068	0.0213267076373	-0.00779801942936	-300.0
MAFK	-0.1667808765	5.9367657389	5.7699848624	0.069481492995	0.0528396631377	0.0606518069517	0.0441556428665	0.0335672001245	0.0390268341432	-0.00714777618347	-100.540943453	0.741928885806	0.749904821038	0.0409734526396	0.776011151039	0.780920496685	0.0600390282721	0.0145976868413	-208.90442027	0.420045055259	0.417317998347	0.0379842053366	0.409806469803	0.410744989747	0.0203729171051	-0.0074109443893	-300.0	0.270739829161	0.27001393201	0.0442464071044	0.264932325564	0.265727169235	0.0190068155372	-0.00632038383373	-300.0
PAX2	-0.1591111566	5.4571127333	5.2980015767	0.0767199951179	0.0593446819725	0.0634451643681	0.119826650858	0.0894694589415	0.111283380201	0.0113098701324	-35.7936844598	0.646271301296	0.656040869324	0.049371085583	0.674576636076	0.68046583679	0.094570457258	0.117979413276	-27.0216170822	0.430469635978	0.424564160877	0.0341903477718	0.447288844505	0.432612314576	0.0705723074328	0.0406056866781	-132.799462014	0.315217443863	0.301823862791	0.102872361052	0.295546645835	0.294259900573	0.0440388669221	-0.0271921787419	-109.828681042
ZNF354C	-0.1560589466	2.5165529889	2.3604940423	0.106948002659	0.0859870895827	0.0860528723858	0.0648056550096	0.0509843992069	0.0515613153095	-0.0296557405243	-97.0544945249	0.785263733712	0.794278524022	0.0690470714107	0.729713156444	0.741484557545	0.0480576286265	-0.0926435424262	-241.461673781	0.602783069633	0.605458602364	0.033360766664	0.59369691094	0.595803508805	0.0182508545601	-0.0566689605374	-300.0	0.316011310712	0.312352630818	0.0440358821421	0.307513396237	0.306354100864	0.0249044268966	-0.0907151663619	-300.0
CTCF	-0.1501554426	8.7064197389	8.5562642963	0.0409871990689	0.0311675074808	0.037718432397	0.0647222734542	0.0473781380931	0.061733192774	0.0106967392662	-300.0	0.798560379069	0.803710041625	0.0677613559162	0.717611969915	0.72649219069	0.039161806612	-0.262419986473	-300.0	0.527404409706	0.524887010776	0.0337130422821	0.51695952287	0.516460093937	0.0193000037073	-0.0533478358617	-300.0	0.333226455949	0.330442837568	0.0480989505043	0.324395286758	0.324567992069	0.0238545079181	-0.0790067953706	-300.0
HNF1A	-0.1420992513	4.9258633889	4.7837641376	0.140177165536	0.109672718614	0.117450322995	0.0906291598441	0.0696961450152	0.0770203145533	-0.00267728769917	-34.4760917498	0.7510855819	0.762600324596	0.0429298917483	0.758283075507	0.765796490084	0.0597500241559	0.209618576603	-17.1672207271	0.46841902117	0.471765828616	0.0367568410968	0.461086325884	0.463277622766	0.0248831860763	-0.0489480077269	-300.0	0.348381032019	0.348851618735	0.0303788689599	0.344176251312	0.343692813458	0.0181847388953	-0.0907757384647	-300.0
