FACTOR	EXPR_FOLDCHANGE	EXPR_GM12878	EXPR_K562	FLR_95_GM12878_protection_mean	FLR_95_GM12878_protection_median	FLR_95_GM12878_protection_std	FLR_95_K562_protection_mean	FLR_95_K562_protection_median	FLR_95_K562_protection_std	FLR_95_protection_ks_stat	FLR_95_protection_ks_pvalue	FLR_95_GM12878_tc_mean	FLR_95_GM12878_tc_median	FLR_95_GM12878_tc_std	FLR_95_K562_tc_mean	FLR_95_K562_tc_median	FLR_95_K562_tc_std	FLR_95_tc_ks_stat	FLR_95_tc_ks_pvalue	FLR_95_GM12878_fos_mean	FLR_95_GM12878_fos_median	FLR_95_GM12878_fos_std	FLR_95_K562_fos_mean	FLR_95_K562_fos_median	FLR_95_K562_fos_std	FLR_95_fos_ks_stat	FLR_95_fos_ks_pvalue	FLR_95_GM12878_flr_mean	FLR_95_GM12878_flr_median	FLR_95_GM12878_flr_std	FLR_95_K562_flr_mean	FLR_95_K562_flr_median	FLR_95_K562_flr_std	FLR_95_flr_ks_stat	FLR_95_flr_ks_pvalue
HOXA5	-0.5275261365	3.8746430889	3.3471169524	0.0320529538356	0.0270572540916	0.0207072240611	0.0234022430688	0.0199344897249	0.0145179591577	-0.0237111810804	-300.0	0.823741960768	0.828629179078	0.0455781302659	0.769790387741	0.779921299992	0.0277521908626	-0.245793063772	-300.0	0.51624633466	0.514454599187	0.0279091016147	0.521920868585	0.519654619752	0.0511350544393	0.0450155558942	-142.163358114	0.325357629405	0.324206682861	0.0337763940581	0.330894061473	0.327634906171	0.0697945587312	0.0327071726146	-28.6972442303
SREBF2	-0.459857972	9.3969251889	8.9370672169	0.0528697684259	0.0442109831586	0.0303021683339	0.0380951577606	0.0324721677919	0.0197031334189	-0.0380446368875	-300.0	0.743721169554	0.758604228651	0.0600476426159	0.667899443163	0.674705300447	0.0374517805492	-0.418808337697	-300.0	0.48452890407	0.483345161714	0.0227155285441	0.489721022416	0.488290593257	0.041985893599	0.03425360596	-100.55707699	0.304826149757	0.303696676777	0.0316448416525	0.311585586158	0.307804216079	0.0618839564258	0.0140442284945	-24.919056286
ZFX	-0.433919887	8.1387332944	7.7048134074	0.0265461418482	0.0233429169858	0.0129527591862	0.0201178535369	0.0180459372972	0.00886833557117	-0.0288466385096	-300.0	0.748234543398	0.762325593651	0.0355426541733	0.786825310899	0.79234195513	0.0599049498186	0.0231881769885	-300.0	0.458541649138	0.456000112468	0.0275843640032	0.468095467869	0.463345067742	0.0486938230918	0.00400208368821	-300.0	0.321288345143	0.320382562446	0.0464657234189	0.331394764819	0.323306792803	0.0944660851022	0.0567234198731	-51.9836954028
SPI1	-0.4202474275	7.6557025333	7.2354551058	0.00838823863346	0.00739419876122	0.00478537007566	0.011093739922	0.0096053569209	0.0068581327758	0.0755122391618	-300.0	0.810748528915	0.81746692237	0.0649835299614	0.744611970602	0.76299159245	0.0376868027271	-0.179024174636	-300.0	0.503476353926	0.494885323487	0.0524231997362	0.488493002537	0.483289696068	0.0297689902527	-0.0471601658146	-300.0	0.332046990347	0.329787116466	0.049887350937	0.347131199467	0.333748168514	0.114436635807	0.0633770017463	-132.306671369
NFATC2	-0.4050990344	7.8968279444	7.4917289101	0.0518275844678	0.0464205690844	0.0197381476978	0.0628546838666	0.0540828211752	0.0288580728049	0.013403642066	-300.0	0.756868072301	0.771234957029	0.03596377406	0.771229718082	0.778456652174	0.0562452527963	0.190543452611	-19.9298520116	0.506511875735	0.506453826373	0.0228632483569	0.511572608298	0.512284037704	0.043733783905	0.0116933190526	-115.843271465	0.314019714958	0.312090997862	0.0572942639606	0.320461804714	0.316751523537	0.0658280761092	0.0150229456364	-15.2669605884
SRF	-0.368290577	8.5141720056	8.1458814286	0.0198964017198	0.0164344248993	0.0142550120524	0.0133143985926	0.0112174792235	0.00977904509175	-0.0995527835172	-300.0	0.845425718088	0.851869297732	0.050166206082	0.771619476845	0.78351366533	0.0308222823067	-0.408567873216	-300.0	0.479413178015	0.478431308682	0.0255847019481	0.485325439106	0.484270149492	0.04618501959	0.0516107752027	-78.6247988865	0.317814724307	0.314412435509	0.0729502263169	0.310977953873	0.309533668072	0.035125141888	-0.0211980765821	-46.3173053248
NKX2-5	-0.3477572392	6.1980671333	5.8503098942	0.0565706085924	0.0460456437677	0.0311859426236	0.0414247590779	0.0346396660034	0.0205949508043	-0.0486600955379	-300.0	0.750715964524	0.763570422265	0.059206717832	0.68120689159	0.687827826149	0.0365971754992	-0.374705791662	-300.0	0.514052112474	0.513098825471	0.0226603680529	0.519402143107	0.51856890916	0.040078249026	0.0172590290845	-161.932403568	0.294581181791	0.290950658347	0.0697416619535	0.287347495106	0.287249542308	0.0361339582054	-0.000616470638196	-41.525339856
SOX17	-0.315282727	6.6900928222	6.3748100952	0.00608620901527	0.00480272031274	0.00635146577962	0.00807945136718	0.0061817065782	0.00893861865947	0.115652006113	-300.0	0.734356857308	0.748745526832	0.063544243707	0.68316862965	0.689994101795	0.0387257119998	-0.235596438497	-300.0	0.579975944532	0.576814227689	0.0438998244757	0.57074688033	0.568765696007	0.026132671882	-0.0101257871845	-299.999999843	0.314102524719	0.309708773352	0.0709634319083	0.304648455055	0.30402958833	0.0282408366529	-0.0249025830783	-86.330984594
REST	-0.3104942741	7.8934747556	7.5829804815	0.0499766645233	0.0437002913186	0.020625248903	0.0676420024201	0.0601988172503	0.031528290992	0.0273401309577	-300.0	0.747396362414	0.759859907043	0.0575562242687	0.726308387819	0.732004671432	0.0366615796188	-0.0247535274124	-300.0	0.650922842707	0.648372234795	0.0441575045673	0.641822735487	0.63998430531	0.0245367138285	-0.0418685672676	-300.0	0.327802832291	0.327380002854	0.0358518903043	0.337040692745	0.332327556223	0.0764113751198	0.0053171815006	-64.2461707677
RXRA	-0.3028018288	7.0916307389	6.7888289101	0.0284453411652	0.0246261112096	0.0140316900021	0.0225839279973	0.0197331157856	0.00961906331724	-0.0561676406525	-300.0	0.767285570399	0.778037428348	0.0320712021501	0.782714264274	0.788067119411	0.0483735573878	0.196543040368	-71.1602474266	0.710452367308	0.709707751623	0.0334956280763	0.70199966274	0.700878656004	0.0195769253065	-0.0906792849223	-300.0	0.30411981619	0.302856703628	0.0370160631714	0.310851597321	0.307079241086	0.0721005881576	0.0100970593363	-53.4001119906
