FACTOR	EXPR_FOLDCHANGE	EXPR_GM12878	EXPR_K562	TC_GM12878_protection_mean	TC_GM12878_protection_median	TC_GM12878_protection_std	TC_K562_protection_mean	TC_K562_protection_median	TC_K562_protection_std	TC_protection_ks_stat	TC_protection_ks_pvalue	TC_GM12878_tc_mean	TC_GM12878_tc_median	TC_GM12878_tc_std	TC_K562_tc_mean	TC_K562_tc_median	TC_K562_tc_std	TC_tc_ks_stat	TC_tc_ks_pvalue	TC_GM12878_fos_mean	TC_GM12878_fos_median	TC_GM12878_fos_std	TC_K562_fos_mean	TC_K562_fos_median	TC_K562_fos_std	TC_fos_ks_stat	TC_fos_ks_pvalue	TC_GM12878_flr_mean	TC_GM12878_flr_median	TC_GM12878_flr_std	TC_K562_flr_mean	TC_K562_flr_median	TC_K562_flr_std	TC_flr_ks_stat	TC_flr_ks_pvalue
NFATC2	-0.4050990344	7.8968279444	7.4917289101	0.132650412518	0.110447632038	0.076141399569	0.0909969087191	0.0643547291172	0.0473016218248	-0.0819226394656	-300.0	0.532982617529	0.53297947923	0.0708637164387	0.51986275469	0.521667551542	0.00156414829642	-0.0539924712547	-300.0	0.532982617529	0.53297947923	0.0708637164387	0.51986275469	0.521667551542	0.00156414829642	-0.0539924712547	-300.0	0.283264535042	0.281465886663	0.00347179003433	0.285551141196	0.285569964939	0.050637668584	0.0214314508905	-87.3945275441
SRF	-0.368290577	8.5141720056	8.1458814286	0.0994459672421	0.0886018515746	0.0467004482862	0.064486388128	0.0626277598585	0.0235157290683	-0.147649782996	-300.0	0.596155003767	0.596147486403	0.0682353631683	0.589141266437	0.589166975806	0.00143231420906	-0.00211769457	-300.0	0.596155003767	0.596147486403	0.0682353631683	0.589141266437	0.589166975806	0.00143231420906	-0.00211769457	-300.0	0.258767539976	0.256863508184	0.00343828116161	0.260045263056	0.259998172319	0.0412740595068	0.0555466440983	-69.2624511683
NKX2-5	-0.3477572392	6.1980671333	5.8503098942	0.180133961601	0.154330739404	0.0635610777036	0.154411183239	0.130402410198	0.048005870272	-0.0365882943042	-300.0	0.575626802468	0.575581109549	0.0664826365464	0.563955627687	0.565581202936	0.00139825242455	-0.0317728207108	-300.0	0.575626802468	0.575581109549	0.0664826365464	0.563955627687	0.565581202936	0.00139825242455	-0.0317728207108	-300.0	0.259301227249	0.258941626198	0.00369468183647	0.261871672487	0.261894934434	0.0443939839572	0.0533404689453	-110.831971698
SOX17	-0.315282727	6.6900928222	6.3748100952	0.0804074318475	0.0706285565821	0.0380392110103	0.102664083883	0.0884119725091	0.0571188386884	0.225674946188	-300.0	0.650897137143	0.650772094354	0.00259103657006	0.660029589444	0.654806035546	0.0750096333652	0.0285126582278	-300.0	0.650897137143	0.650772094354	0.00259103657006	0.660029589444	0.654806035546	0.0750096333652	0.0285126582278	-300.0	0.250939542272	0.250479916744	0.00551401450603	0.254787879678	0.254755049757	0.0426231503605	0.0119875512237	-115.155918123
REST	-0.3104942741	7.8934747556	7.5829804815	0.206791093056	0.198894287396	0.0635288098702	0.165261673404	0.15990957069	0.0422833473696	-0.0310719328398	-300.0	0.616310735899	0.616236728408	0.0886560577722	0.604530649046	0.602793204523	0.00222391934395	-0.0348616898582	-300.0	0.616310735899	0.616236728408	0.0886560577722	0.604530649046	0.602793204523	0.00222391934395	-0.0348616898582	-300.0	0.273902453605	0.273108035775	0.00389019896773	0.277347295393	0.277403486138	0.0485788609269	0.029860759468	-167.309887779
RXRA	-0.3028018288	7.0916307389	6.7888289101	0.215118227322	0.188056080363	0.0676920443052	0.178671777407	0.159401842268	0.0434993721123	-0.0192708498843	-300.0	0.536460913824	0.536472679143	0.0645604314771	0.526424122811	0.527472448789	0.0010028932954	-0.0261468125489	-300.0	0.536460913824	0.536472679143	0.0645604314771	0.526424122811	0.527472448789	0.0010028932954	-0.0261468125489	-300.0	0.278717035421	0.275934375598	0.00453751040535	0.279742346052	0.279849360937	0.0542874235959	0.0218896421644	-142.85569592
USF1	-0.3023841979	7.3838312667	7.0814470688	0.150184511911	0.124568225049	0.0603350273898	0.197676458888	0.159557168083	0.0935276611192	0.00406547098759	-300.0	0.640673090064	0.633084091061	0.0912018895914	0.610465676516	0.61045042233	0.0016689404523	-0.0758102779787	-300.0	0.640673090064	0.633084091061	0.0912018895914	0.610465676516	0.61045042233	0.0016689404523	-0.0758102779787	-300.0	0.293269611042	0.291128056986	0.00365460200555	0.294451827939	0.294629115639	0.0652471405175	0.0340408358155	-137.811589553
YY1	-0.2742424783	9.2492416	8.9749991217	0.114057550516	0.0945612731498	0.045396433905	0.0903489333053	0.0766325284546	0.0287809648582	-0.0380750192314	-300.0	0.596753967371	0.595458983802	0.00188027152308	0.59698865715	0.596978052656	0.0773599654436	0.0431640147337	-300.0	0.596753967371	0.595458983802	0.00188027152308	0.59698865715	0.596978052656	0.0773599654436	0.0431640147337	-300.0	0.35029009479	0.35022979927	0.0512973280719	0.345899971877	0.345519780377	0.00358033002075	-0.00175667995752	-118.182928547
RELA	-0.2724742439	8.8449193444	8.5724451005	0.140890053	0.115515186589	0.0600417135025	0.186313590702	0.154160977465	0.0868962744841	0.00749402373179	-300.0	0.590522025959	0.59061163914	0.00270010173587	0.591035325076	0.591040643238	0.0779687498394	0.0519608233429	-300.0	0.590522025959	0.59061163914	0.00270010173587	0.591035325076	0.591040643238	0.0779687498394	0.0519608233429	-300.0	0.288627291241	0.289014814583	0.00382482079431	0.29363803599	0.293414266311	0.0380078417504	0.0125473578778	-134.174777863
NR2F1	-0.269684032	5.6412763389	5.3715923069	0.192606409225	0.157565672188	0.079481137098	0.150193422514	0.124377503022	0.0554269240804	-0.0605589978101	-300.0	0.651422292931	0.651386729022	0.068414016627	0.632579417238	0.633588492736	0.00252810927321	-0.0932182964058	-300.0	0.651422292931	0.651386729022	0.068414016627	0.632579417238	0.633588492736	0.00252810927321	-0.0932182964058	-300.0	0.259134365885	0.25836038653	0.00380258232874	0.263120871692	0.263217348416	0.0403397642428	0.0234600927127	-94.5673353804
