FACTOR	LAB_MH	LAB_SS	LAB_SY	LAB_IU	LAB_BB	LAB_FU	LAB_SU	LAB_WU	LAB_SH	LAB_ES	MOTIF_RAW	PWM_JASPAR_RAW	PWM_UNIPROBE_RAW	PWM_TRANSFAC_RAW	MOTIF_FB	HITS_FB	PWM_JASPAR_FB	PWM_UNIPROBE_FB	PWM_TRANSFAC_FB	CHIP_USED	PWM_USED	
RCOR1/COREST (SC30189)	NA	NP	NA	NA	NA	NA	NA	NA	NA	NP	NA	NA	NA	NA	NA	NA	NA	NA	NA	RAW=NA / FB=NA		
RFX5 (200-401-194)	NA	NP	NA	NA	NA	NA	NA	NA	NA	NP	RFX5	MA0510.1	NA	NA	NA	NA	NA	NA	NA	LAB_SS	MA0510.1	
RPC155 (1900)	NA	NA	NA	NA	NA	NA	NA	NA	NP	NP	NA	NA	NA	NA	B-Box	289	NA	NA	NA	RAW=NA / FB=CRITERIA		
SAP30 (39731)	NA	NA	NA	NA	BP	NA	NA	NA	NA	NP	NA	NA	NA	NA	NA	NA	NA	NA	NA	RAW=NA / FB=NA		
SETDB1 (11231-1-AP)	NA	NA	NA	NA	BP	NP	NA	NA	NA	NP	NA	NA	NA	NA	UA10	97	NA	NA	NA	RAW=NA / FB=CRITERIA		
SIN3AK20 (SC-994)	BP	NA	NA	NA	NA	NA	NA	NA	NA	NP	NA	NA	NA	NA	REST	69	MA0138	NA	V$NRSF_01	RAW=NA / FB=CRITERIA		
SIRT6 (AB48192)	NA	NA	NA	NA	BP	NA	NA	NA	NP	NP	NA	NA	NA	NA	GATA1	262	MA0035	NA	V$GATA1_01	RAW=NA / FB=CRITERIA		
SIX5 (SC-55706)	BP	NA	NA	NA	NA	NA	NA	NA	NA	NP	NA	NA	NA	NA	ZNF143-ext	449	MA0088.1	NA	V$STAF_01	LAB_MH	MA0088.1	
SMC3 (AB9263)	NA	NP	NA	NA	NA	NA	NA	NA	NA	NP	NA	NA	NA	NA	CTCF	492	MA0139	NA	NA	LAB_SS	MA0139.1	
SP1 (SC-17824)	BP	NA	NA	NA	NA	NA	NA	NA	NA	NP	SP1	MA0079.3	NA	V$SP1_01	NFY	329	NA	NA	V$NFY_01	LAB_MH	MA0079.3	
